	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso_us
brf_gmo	1.0	3.269740513392857e-05	3.269740513392857e-05	3.269740513392857e-05	3.269740513392857e-05	3.269740513392857e-05
brf_gmosa	3.269740513392857e-05	1.0	0.17535400390625	3.269740513392857e-05	3.269740513392857e-05	3.269740513392857e-05
brf_gso	3.269740513392857e-05	0.17535400390625	1.0	3.269740513392857e-05	3.269740513392857e-05	3.269740513392857e-05
brf_lmo	3.269740513392857e-05	3.269740513392857e-05	3.269740513392857e-05	1.0	3.269740513392857e-05	3.269740513392857e-05
brf_lso	3.269740513392857e-05	3.269740513392857e-05	3.269740513392857e-05	3.269740513392857e-05	1.0	3.269740513392857e-05
brf_sgso_us	3.269740513392857e-05	3.269740513392857e-05	3.269740513392857e-05	3.269740513392857e-05	3.269740513392857e-05	1.0
