	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso_us
brf_gmo	1.0	0.0981903076171875	0.2614593505859375	0.38533528645833337	0.106964111328125	0.8356857299804688
brf_gmosa	0.0981903076171875	1.0	0.32878875732421875	0.1448822021484375	0.93988037109375	0.93988037109375
brf_gso	0.2614593505859375	0.32878875732421875	1.0	0.32878875732421875	0.196197509765625	0.93988037109375
brf_lmo	0.38533528645833337	0.1448822021484375	0.32878875732421875	1.0	0.00091552734375	0.8356857299804688
brf_lso	0.106964111328125	0.93988037109375	0.196197509765625	0.00091552734375	1.0	0.8356857299804688
brf_sgso_us	0.8356857299804688	0.93988037109375	0.93988037109375	0.8356857299804688	0.8356857299804688	1.0
