	brf_gmo	brf_gmo__nrlmf	brf_gso__nrlmf	brf_lmo	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa__nrlmf	bxt_gso__nrlmf
brf_gmo	1.0	3.5603841145833336e-05	0.022185149016203703	3.5603841145833336e-05	3.5603841145833336e-05	0.01409912109375	3.5603841145833336e-05	3.5603841145833336e-05
brf_gmo__nrlmf	3.5603841145833336e-05	1.0	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05
brf_gso__nrlmf	0.022185149016203703	3.5603841145833336e-05	1.0	3.5603841145833336e-05	3.5603841145833336e-05	0.0443115234375	3.5603841145833336e-05	3.5603841145833336e-05
brf_lmo	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	1.0	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05
bxt_gmo	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	1.0	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05
bxt_gmo__nrlmf	0.01409912109375	3.5603841145833336e-05	0.0443115234375	3.5603841145833336e-05	3.5603841145833336e-05	1.0	3.5603841145833336e-05	3.5603841145833336e-05
bxt_gmosa__nrlmf	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	1.0	0.0011279296875
bxt_gso__nrlmf	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	0.0011279296875	1.0
