	ad_density__50	ad_fixed__50	ad_random__50	ad_size__50	md_density__50	md_fixed__50	md_random__50	md_size__50	mse_fixed__50	mse_size__50
ad_density__50	1.0	0.0010790143694196428	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	0.4637451171875	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05
ad_fixed__50	0.0010790143694196428	1.0	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	0.0004689286394817073	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05
ad_random__50	3.4332275390625e-05	3.4332275390625e-05	1.0	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	0.1220951523891715	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05
ad_size__50	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	1.0	0.14712940562855115	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05
md_density__50	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	0.14712940562855115	1.0	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05
md_fixed__50	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	1.0	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05
md_random__50	0.4637451171875	0.0004689286394817073	0.1220951523891715	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	1.0	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05
md_size__50	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	1.0	3.4332275390625e-05	3.4332275390625e-05
mse_fixed__50	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	1.0	3.4332275390625e-05
mse_size__50	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	1.0
