	ad_density__50	ad_fixed__50	ad_random__50	ad_size__50	md_density__50	md_fixed__50	md_random__50	md_size__50	mse_fixed__50	mse_size__50
ad_density__50	1.0	0.979949951171875	0.24395282451923075	0.09858783922697369	7.227847450657894e-05	0.0047206878662109375	7.227847450657894e-05	7.227847450657894e-05	0.00857266512784091	0.00015845665564903847
ad_fixed__50	0.979949951171875	1.0	0.5437562523818598	0.5437562523818598	0.00011941661005434784	0.04079045476140203	7.227847450657894e-05	0.00011941661005434784	0.02674102783203125	0.0011838715651939654
ad_random__50	0.24395282451923075	0.5437562523818598	1.0	0.7604598999023438	7.227847450657894e-05	0.0015106201171875	7.227847450657894e-05	7.227847450657894e-05	0.010097728056066176	0.00011941661005434784
ad_size__50	0.09858783922697369	0.5437562523818598	0.7604598999023438	1.0	7.227847450657894e-05	0.003100979712701613	7.227847450657894e-05	7.227847450657894e-05	0.0009318760463169643	0.00015845665564903847
md_density__50	7.227847450657894e-05	0.00011941661005434784	7.227847450657894e-05	7.227847450657894e-05	1.0	7.227847450657894e-05	0.0009318760463169643	0.6020246233258928	7.227847450657894e-05	0.00015845665564903847
md_fixed__50	0.0047206878662109375	0.04079045476140203	0.0015106201171875	0.003100979712701613	7.227847450657894e-05	1.0	7.227847450657894e-05	7.227847450657894e-05	0.6615749625272529	7.227847450657894e-05
md_random__50	7.227847450657894e-05	7.227847450657894e-05	7.227847450657894e-05	7.227847450657894e-05	0.0009318760463169643	7.227847450657894e-05	1.0	0.02674102783203125	7.227847450657894e-05	0.00011941661005434784
md_size__50	7.227847450657894e-05	0.00011941661005434784	7.227847450657894e-05	7.227847450657894e-05	0.6020246233258928	7.227847450657894e-05	0.02674102783203125	1.0	7.227847450657894e-05	7.227847450657894e-05
mse_fixed__50	0.00857266512784091	0.02674102783203125	0.010097728056066176	0.0009318760463169643	7.227847450657894e-05	0.6615749625272529	7.227847450657894e-05	7.227847450657894e-05	1.0	7.227847450657894e-05
mse_size__50	0.00015845665564903847	0.0011838715651939654	0.00011941661005434784	0.00015845665564903847	0.00015845665564903847	7.227847450657894e-05	0.00011941661005434784	7.227847450657894e-05	7.227847450657894e-05	1.0
