	ad_density__50	ad_fixed__50	ad_random__50	ad_size__50	md_density__50	md_fixed__50	md_random__50	md_size__50	mse_fixed__50	mse_size__50
ad_density__50	1.0	0.004648061899038462	0.005035400390625	0.00384521484375	0.00011444091796875	0.6101469560102983	0.00011444091796875	0.00018310546875	0.4223899841308594	0.00011444091796875
ad_fixed__50	0.004648061899038462	1.0	0.668548583984375	0.198822021484375	0.00011444091796875	0.02917203036221591	0.00011444091796875	0.00384521484375	0.08408464704241071	0.00018310546875
ad_random__50	0.005035400390625	0.668548583984375	1.0	0.432586669921875	0.0009613037109375	0.013334212764616936	0.0021580287388392855	0.02917203036221591	0.05864760454963235	0.005035400390625
ad_size__50	0.00384521484375	0.198822021484375	0.432586669921875	1.0	0.0009613037109375	0.005035400390625	0.005035400390625	0.3721266526442308	0.00384521484375	0.22832770096628288
md_density__50	0.00011444091796875	0.00011444091796875	0.0009613037109375	0.0009613037109375	1.0	0.00011444091796875	0.432586669921875	0.0004291534423828125	0.00011444091796875	0.00018310546875
md_fixed__50	0.6101469560102983	0.02917203036221591	0.013334212764616936	0.005035400390625	0.00011444091796875	1.0	0.00011444091796875	0.000762939453125	0.22832770096628288	0.00011444091796875
md_random__50	0.00011444091796875	0.00011444091796875	0.0021580287388392855	0.005035400390625	0.432586669921875	0.00011444091796875	1.0	0.00011444091796875	0.00011444091796875	0.000762939453125
md_size__50	0.00018310546875	0.00384521484375	0.02917203036221591	0.3721266526442308	0.0004291534423828125	0.000762939453125	0.00011444091796875	1.0	0.0034332275390625	0.5184652638989825
mse_fixed__50	0.4223899841308594	0.08408464704241071	0.05864760454963235	0.00384521484375	0.00011444091796875	0.22832770096628288	0.00011444091796875	0.0034332275390625	1.0	0.00011444091796875
mse_size__50	0.00011444091796875	0.00018310546875	0.005035400390625	0.22832770096628288	0.00018310546875	0.00011444091796875	0.000762939453125	0.5184652638989825	0.00011444091796875	1.0
