	ad_density__50	ad_fixed__50	ad_random__50	ad_size__50	md_density__50	md_fixed__50	md_random__50	md_size__50	mse_fixed__50	mse_size__50
ad_density__50	1.0	0.065460205078125	0.065460205078125	0.1078033447265625	0.5184652638989825	0.743560791015625	0.32512664794921875	0.5401715365323153	0.49686976841517855	0.1078033447265625
ad_fixed__50	0.065460205078125	1.0	0.36225190033783783	0.210003662109375	0.36225190033783783	0.18282682999320654	0.15489277086759867	0.18282682999320654	0.1526776482077206	0.01476287841796875
ad_random__50	0.065460205078125	0.36225190033783783	1.0	0.2752920297475962	0.32512664794921875	0.15489277086759867	0.0962677001953125	0.10212291370738637	0.3338308895335478	0.00640869140625
ad_size__50	0.1078033447265625	0.210003662109375	0.2752920297475962	1.0	0.14247894287109375	0.059051513671875	0.046417236328125	0.057220458984375	0.317138671875	0.00640869140625
md_density__50	0.5184652638989825	0.36225190033783783	0.32512664794921875	0.14247894287109375	1.0	0.4223899841308594	0.18282682999320654	0.47546014553163113	0.35285731724330355	0.317138671875
md_fixed__50	0.743560791015625	0.18282682999320654	0.15489277086759867	0.059051513671875	0.4223899841308594	1.0	0.1078033447265625	0.210003662109375	0.3338308895335478	0.00640869140625
md_random__50	0.32512664794921875	0.15489277086759867	0.0962677001953125	0.046417236328125	0.18282682999320654	0.1078033447265625	1.0	0.1663055419921875	0.30987330845424105	0.38191945929276316
md_size__50	0.5401715365323153	0.18282682999320654	0.10212291370738637	0.057220458984375	0.47546014553163113	0.210003662109375	0.1663055419921875	1.0	0.40198692908653844	0.14247894287109375
mse_fixed__50	0.49686976841517855	0.1526776482077206	0.3338308895335478	0.317138671875	0.35285731724330355	0.3338308895335478	0.30987330845424105	0.40198692908653844	1.0	0.29225667317708337
mse_size__50	0.1078033447265625	0.01476287841796875	0.00640869140625	0.00640869140625	0.317138671875	0.00640869140625	0.38191945929276316	0.14247894287109375	0.29225667317708337	1.0
