	ad_density__50	ad_fixed__50	ad_random__50	ad_size__50	md_density__50	md_fixed__50	md_random__50	md_size__50	mse_fixed__50	mse_size__50
ad_density__50	1.0	0.0010790143694196428	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	0.49542236328125	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05
ad_fixed__50	0.0010790143694196428	1.0	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	0.0006364031535823171	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05
ad_random__50	3.4332275390625e-05	3.4332275390625e-05	1.0	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	0.15055101971293605	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05
ad_size__50	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	1.0	0.1793393221768466	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05
md_density__50	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	0.1793393221768466	1.0	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05
md_fixed__50	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	1.0	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05
md_random__50	0.49542236328125	0.0006364031535823171	0.15055101971293605	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	1.0	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05
md_size__50	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	1.0	3.4332275390625e-05	3.4332275390625e-05
mse_fixed__50	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	1.0	3.4332275390625e-05
mse_size__50	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	3.4332275390625e-05	1.0
