	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf
bxt_gmo	1.0	4.0690104166666664e-05	4.0690104166666664e-05	0.008544921875	4.0690104166666664e-05	0.0031331380208333335	4.0690104166666664e-05	0.0031331380208333335
bxt_gmo__nrlmf	4.0690104166666664e-05	1.0	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05
bxt_gmosa	4.0690104166666664e-05	4.0690104166666664e-05	1.0	4.0690104166666664e-05	0.00019420276988636365	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05
bxt_gmosa__nrlmf	0.008544921875	4.0690104166666664e-05	4.0690104166666664e-05	1.0	4.0690104166666664e-05	0.09690574363425926	4.0690104166666664e-05	0.08965594951923077
bxt_gso	4.0690104166666664e-05	4.0690104166666664e-05	0.00019420276988636365	4.0690104166666664e-05	1.0	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05
bxt_gso__nrlmf	0.0031331380208333335	4.0690104166666664e-05	4.0690104166666664e-05	0.09690574363425926	4.0690104166666664e-05	1.0	4.0690104166666664e-05	0.322509765625
bxt_lmo	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	1.0	4.0690104166666664e-05
bxt_lmo__nrlmf	0.0031331380208333335	4.0690104166666664e-05	4.0690104166666664e-05	0.08965594951923077	4.0690104166666664e-05	0.322509765625	4.0690104166666664e-05	1.0
