	ad_density	ad_fixed	ad_random	ad_size	md_density	md_fixed	md_random	md_size	mse_density	mse_fixed	mse_random	mse_size
ad_density	1.0	0.79398193359375	0.00018649631076388888	0.1666317894345238	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	7.898667279411765e-05	4.110530931122449e-05	4.110530931122449e-05
ad_fixed	0.79398193359375	1.0	0.003004171080508475	0.4782371520996094	4.110530931122449e-05	0.00018649631076388888	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	0.00011620154747596155	4.110530931122449e-05	4.110530931122449e-05
ad_random	0.00018649631076388888	0.003004171080508475	1.0	0.003692626953125	4.110530931122449e-05	0.860260009765625	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	0.15314114478326613	4.110530931122449e-05	4.110530931122449e-05
ad_size	0.1666317894345238	0.4782371520996094	0.003692626953125	1.0	4.110530931122449e-05	0.0006598110856681034	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	0.0004947060032894736	4.110530931122449e-05	4.110530931122449e-05
md_density	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	1.0	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	0.00035967145647321425
md_fixed	4.110530931122449e-05	0.00018649631076388888	0.860260009765625	0.0006598110856681034	4.110530931122449e-05	1.0	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	0.016773661629098362	4.110530931122449e-05	4.110530931122449e-05
md_random	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	1.0	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	0.00035967145647321425
md_size	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	1.0	4.110530931122449e-05	7.898667279411765e-05	4.110530931122449e-05	4.110530931122449e-05
mse_density	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	1.0	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05
mse_fixed	7.898667279411765e-05	0.00011620154747596155	0.15314114478326613	0.0004947060032894736	4.110530931122449e-05	0.016773661629098362	4.110530931122449e-05	7.898667279411765e-05	4.110530931122449e-05	1.0	4.110530931122449e-05	4.110530931122449e-05
mse_random	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	1.0	4.110530931122449e-05
mse_size	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	0.00035967145647321425	4.110530931122449e-05	0.00035967145647321425	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	4.110530931122449e-05	1.0
