	bxt_gmo	bxt_gmosa	bxt_gso	bxt_gso_1k__nrlmf	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	0.02119298135080645	4.0690104166666664e-05	4.0690104166666664e-05
bxt_gmosa	4.0690104166666664e-05	1.0	0.0012948172433035715	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05
bxt_gso	4.0690104166666664e-05	0.0012948172433035715	1.0	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	0.01318359375	4.0690104166666664e-05
bxt_gso_1k__nrlmf	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	1.0	0.009470972521551723	0.820892333984375	4.0690104166666664e-05	4.0690104166666664e-05	0.6136335100446428
bxt_gso__nrlmf	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	0.009470972521551723	1.0	0.0908203125	4.0690104166666664e-05	4.0690104166666664e-05	0.0908203125
bxt_lmo	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	0.820892333984375	0.0908203125	1.0	4.0690104166666664e-05	4.0690104166666664e-05	0.16841394761029413
bxt_lmo__nrlmf	0.02119298135080645	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	1.0	4.0690104166666664e-05	4.0690104166666664e-05
bxt_lso	4.0690104166666664e-05	4.0690104166666664e-05	0.01318359375	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	1.0	4.0690104166666664e-05
bxt_lso__nrlmf	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	0.6136335100446428	0.0908203125	0.16841394761029413	4.0690104166666664e-05	4.0690104166666664e-05	1.0
