	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf
bxt_gmo	1.0	0.00731658935546875	8.544921875e-05	0.3971354166666667	8.544921875e-05	0.5513416637073864	8.544921875e-05	0.979949951171875
bxt_gmo__nrlmf	0.00731658935546875	1.0	8.544921875e-05	0.20180257161458331	8.544921875e-05	0.1722555721507353	8.544921875e-05	0.3407175164473684
bxt_gmosa	8.544921875e-05	8.544921875e-05	1.0	0.0003987630208333333	0.38422241210937497	0.0001971905048076923	0.5779927571614584	8.544921875e-05
bxt_gmosa__nrlmf	0.3971354166666667	0.20180257161458331	0.0003987630208333333	1.0	8.544921875e-05	0.969158466045673	0.0001971905048076923	0.7487744140625
bxt_gso	8.544921875e-05	8.544921875e-05	0.38422241210937497	8.544921875e-05	1.0	0.0001553622159090909	0.5645592730978262	8.544921875e-05
bxt_gso__nrlmf	0.5513416637073864	0.1722555721507353	0.0001971905048076923	0.969158466045673	0.0001553622159090909	1.0	0.00030517578125	0.979949951171875
bxt_lmo	8.544921875e-05	8.544921875e-05	0.5779927571614584	0.0001971905048076923	0.5645592730978262	0.00030517578125	1.0	8.544921875e-05
bxt_lmo__nrlmf	0.979949951171875	0.3407175164473684	8.544921875e-05	0.7487744140625	8.544921875e-05	0.979949951171875	8.544921875e-05	1.0
