	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso_1k	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	4.795619419642857e-05	4.795619419642857e-05	0.028014410109747024	4.795619419642857e-05	4.795619419642857e-05	0.0022516018006859756	4.795619419642857e-05	0.0022516018006859756	4.795619419642857e-05	0.0022516018006859756
bxt_gmo__nrlmf	4.795619419642857e-05	1.0	4.795619419642857e-05	4.795619419642857e-05	4.795619419642857e-05	4.795619419642857e-05	4.795619419642857e-05	4.795619419642857e-05	4.795619419642857e-05	4.795619419642857e-05	4.795619419642857e-05
bxt_gmosa	4.795619419642857e-05	4.795619419642857e-05	1.0	4.795619419642857e-05	1.0	1.0	4.795619419642857e-05	1.0	4.795619419642857e-05	1.0	4.795619419642857e-05
bxt_gmosa__nrlmf	0.028014410109747024	4.795619419642857e-05	4.795619419642857e-05	1.0	4.795619419642857e-05	4.795619419642857e-05	0.00013251053659539474	4.795619419642857e-05	0.00013251053659539474	4.795619419642857e-05	0.00013251053659539474
bxt_gso	4.795619419642857e-05	4.795619419642857e-05	1.0	4.795619419642857e-05	1.0	1.0	4.795619419642857e-05	1.0	4.795619419642857e-05	1.0	4.795619419642857e-05
bxt_gso_1k	4.795619419642857e-05	4.795619419642857e-05	1.0	4.795619419642857e-05	1.0	1.0	4.795619419642857e-05	1.0	4.795619419642857e-05	1.0	4.795619419642857e-05
bxt_gso__nrlmf	0.0022516018006859756	4.795619419642857e-05	4.795619419642857e-05	0.00013251053659539474	4.795619419642857e-05	4.795619419642857e-05	1.0	4.795619419642857e-05	1.0	4.795619419642857e-05	1.0
bxt_lmo	4.795619419642857e-05	4.795619419642857e-05	1.0	4.795619419642857e-05	1.0	1.0	4.795619419642857e-05	1.0	4.795619419642857e-05	1.0	4.795619419642857e-05
bxt_lmo__nrlmf	0.0022516018006859756	4.795619419642857e-05	4.795619419642857e-05	0.00013251053659539474	4.795619419642857e-05	4.795619419642857e-05	1.0	4.795619419642857e-05	1.0	4.795619419642857e-05	1.0
bxt_lso	4.795619419642857e-05	4.795619419642857e-05	1.0	4.795619419642857e-05	1.0	1.0	4.795619419642857e-05	1.0	4.795619419642857e-05	1.0	4.795619419642857e-05
bxt_lso__nrlmf	0.0022516018006859756	4.795619419642857e-05	4.795619419642857e-05	0.00013251053659539474	4.795619419642857e-05	4.795619419642857e-05	1.0	4.795619419642857e-05	1.0	4.795619419642857e-05	1.0
