	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf
bxt_gmo	1.0	0.0012566061580882354	0.0001068115234375	0.0001068115234375	0.0001068115234375	0.0001068115234375	0.0001068115234375	0.0001553622159090909
bxt_gmo__nrlmf	0.0012566061580882354	1.0	0.0001553622159090909	0.0024735300164473685	0.0001553622159090909	0.002041286892361111	0.0006573016826923076	0.015938136888586956
bxt_gmosa	0.0001068115234375	0.0001553622159090909	1.0	0.00035603841145833337	0.059102376302083336	0.00469970703125	0.899932861328125	0.0001068115234375
bxt_gmosa__nrlmf	0.0001068115234375	0.0024735300164473685	0.00035603841145833337	1.0	0.012247721354166666	0.15492600661057693	0.0012566061580882354	0.013982599431818182
bxt_gso	0.0001068115234375	0.0001553622159090909	0.059102376302083336	0.012247721354166666	1.0	0.0732470703125	0.33445457175925924	0.0001068115234375
bxt_gso__nrlmf	0.0001068115234375	0.002041286892361111	0.00469970703125	0.15492600661057693	0.0732470703125	1.0	0.0012566061580882354	0.00115966796875
bxt_lmo	0.0001068115234375	0.0006573016826923076	0.899932861328125	0.0012566061580882354	0.33445457175925924	0.0012566061580882354	1.0	0.0001068115234375
bxt_lmo__nrlmf	0.0001553622159090909	0.015938136888586956	0.0001068115234375	0.013982599431818182	0.0001068115234375	0.00115966796875	0.0001068115234375	1.0
