	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso_1k	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	8.834035773026316e-05	8.834035773026316e-05	8.834035773026316e-05	8.834035773026316e-05	8.834035773026316e-05	8.834035773026316e-05	8.834035773026316e-05	8.834035773026316e-05	8.834035773026316e-05	8.834035773026316e-05
bxt_gmo__nrlmf	8.834035773026316e-05	1.0	8.834035773026316e-05	8.834035773026316e-05	8.834035773026316e-05	8.834035773026316e-05	8.834035773026316e-05	8.834035773026316e-05	8.834035773026316e-05	8.834035773026316e-05	8.834035773026316e-05
bxt_gmosa	8.834035773026316e-05	8.834035773026316e-05	1.0	0.007371948532459088	1.0	1.0	0.007371948532459088	1.0	0.007371948532459088	1.0	0.007371948532459088
bxt_gmosa__nrlmf	8.834035773026316e-05	8.834035773026316e-05	0.007371948532459088	1.0	0.007371948532459088	0.007371948532459088	0.030336775235759887	0.007371948532459088	0.030336775235759887	0.007371948532459088	0.030336775235759887
bxt_gso	8.834035773026316e-05	8.834035773026316e-05	1.0	0.007371948532459088	1.0	1.0	0.007371948532459088	1.0	0.007371948532459088	1.0	0.007371948532459088
bxt_gso_1k	8.834035773026316e-05	8.834035773026316e-05	1.0	0.007371948532459088	1.0	1.0	0.007371948532459088	1.0	0.007371948532459088	1.0	0.007371948532459088
bxt_gso__nrlmf	8.834035773026316e-05	8.834035773026316e-05	0.007371948532459088	0.030336775235759887	0.007371948532459088	0.007371948532459088	1.0	0.007371948532459088	1.0	0.007371948532459088	0.49939641073710445
bxt_lmo	8.834035773026316e-05	8.834035773026316e-05	1.0	0.007371948532459088	1.0	1.0	0.007371948532459088	1.0	0.007371948532459088	1.0	0.007371948532459088
bxt_lmo__nrlmf	8.834035773026316e-05	8.834035773026316e-05	0.007371948532459088	0.030336775235759887	0.007371948532459088	0.007371948532459088	1.0	0.007371948532459088	1.0	0.007371948532459088	0.49939641073710445
bxt_lso	8.834035773026316e-05	8.834035773026316e-05	1.0	0.007371948532459088	1.0	1.0	0.007371948532459088	1.0	0.007371948532459088	1.0	0.007371948532459088
bxt_lso__nrlmf	8.834035773026316e-05	8.834035773026316e-05	0.007371948532459088	0.030336775235759887	0.007371948532459088	0.007371948532459088	0.49939641073710445	0.007371948532459088	0.49939641073710445	0.007371948532459088	1.0
