	bxt_gso	bxt_sgso	bxt_sgso_us
bxt_gso	1.0	0.033538818359375	9.1552734375e-05
bxt_sgso	0.033538818359375	1.0	9.1552734375e-05
bxt_sgso_us	9.1552734375e-05	9.1552734375e-05	1.0
