	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso_us
bxt_gmo	1.0	5.0862630208333336e-05	5.0862630208333336e-05	5.0862630208333336e-05	5.0862630208333336e-05	5.0862630208333336e-05
bxt_gmosa	5.0862630208333336e-05	1.0	0.002288818359375	0.0041961669921875	0.743560791015625	5.0862630208333336e-05
bxt_gso	5.0862630208333336e-05	0.002288818359375	1.0	0.08528489332932691	0.2065822056361607	5.0862630208333336e-05
bxt_lmo	5.0862630208333336e-05	0.0041961669921875	0.08528489332932691	1.0	0.002288818359375	5.0862630208333336e-05
bxt_lso	5.0862630208333336e-05	0.743560791015625	0.2065822056361607	0.002288818359375	1.0	5.0862630208333336e-05
bxt_sgso_us	5.0862630208333336e-05	5.0862630208333336e-05	5.0862630208333336e-05	5.0862630208333336e-05	5.0862630208333336e-05	1.0
