	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso_us
bxt_gmo	1.0	0.03444671630859375	0.03143310546875	0.03143310546875	0.03143310546875	0.433502197265625
bxt_gmosa	0.03444671630859375	1.0	0.433502197265625	0.9294509887695312	0.313751220703125	0.93988037109375
bxt_gso	0.03143310546875	0.433502197265625	1.0	0.359649658203125	0.8135292746803978	0.5225830078125
bxt_lmo	0.03143310546875	0.9294509887695312	0.359649658203125	1.0	0.5225830078125	0.93988037109375
bxt_lso	0.03143310546875	0.313751220703125	0.8135292746803978	0.5225830078125	1.0	0.93988037109375
bxt_sgso_us	0.433502197265625	0.93988037109375	0.5225830078125	0.93988037109375	0.93988037109375	1.0
