	bxt_gmo	bxt_gmosa	bxt_gso	bxt_gso_1k__nrlmf	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	0.0465087890625	0.0465087890625	0.5949419806985294	0.19597860541583478	0.41465541294642855	0.22105648643092105	0.00054931640625	0.743560791015625
bxt_gmosa	0.0465087890625	1.0	0.5941886901855469	0.2531318666771141	0.5753291960685484	0.2744671365489131	0.6502336774553572	0.00054931640625	0.3329296875
bxt_gso	0.0465087890625	0.5941886901855469	1.0	0.2602761008522727	0.5012038658405172	0.2531318666771141	0.5949419806985294	0.0034332275390625	0.317138671875
bxt_gso_1k__nrlmf	0.5949419806985294	0.2531318666771141	0.2602761008522727	1.0	0.0007847377232142857	0.19597860541583478	0.0007847377232142857	0.025146484375	0.19597860541583478
bxt_gso__nrlmf	0.19597860541583478	0.5753291960685484	0.5012038658405172	0.0007847377232142857	1.0	0.1900634765625	0.556494140625	0.3971354166666667	0.0007847377232142857
bxt_lmo	0.41465541294642855	0.2744671365489131	0.2531318666771141	0.19597860541583478	0.1900634765625	1.0	0.15972430889423078	0.000732421875	0.3492384690504808
bxt_lmo__nrlmf	0.22105648643092105	0.6502336774553572	0.5949419806985294	0.0007847377232142857	0.556494140625	0.15972430889423078	1.0	0.19597860541583478	0.0007847377232142857
bxt_lso	0.00054931640625	0.00054931640625	0.0034332275390625	0.025146484375	0.3971354166666667	0.000732421875	0.19597860541583478	1.0	0.0465087890625
bxt_lso__nrlmf	0.743560791015625	0.3329296875	0.317138671875	0.19597860541583478	0.0007847377232142857	0.3492384690504808	0.0007847377232142857	0.0465087890625	1.0
