	bxt_gmo	bxt_gmosa	bxt_gso	bxt_gso_1k	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	0.0004523782169117647	9.987571022727272e-05	9.987571022727272e-05	0.02232421875	0.00023542131696428572	0.01437775985054348	0.00023542131696428572	0.01437775985054348
bxt_gmosa	0.0004523782169117647	1.0	0.93988037109375	0.7078749712775736	0.00018310546875	0.7078749712775736	0.002877371651785714	0.0010986328125	9.987571022727272e-05
bxt_gso	9.987571022727272e-05	0.93988037109375	1.0	0.23380533854166666	0.0008544921875	0.7078749712775736	9.987571022727272e-05	0.23380533854166666	9.987571022727272e-05
bxt_gso_1k	9.987571022727272e-05	0.7078749712775736	0.23380533854166666	1.0	0.0003662109375	0.4003569504310345	9.987571022727272e-05	0.41806640624999997	9.987571022727272e-05
bxt_gso__nrlmf	0.02232421875	0.00018310546875	0.0008544921875	0.0003662109375	1.0	9.987571022727272e-05	0.4003569504310345	9.987571022727272e-05	0.8042933872767857
bxt_lmo	0.00023542131696428572	0.7078749712775736	0.7078749712775736	0.4003569504310345	9.987571022727272e-05	1.0	0.001373291015625	0.0196380615234375	9.987571022727272e-05
bxt_lmo__nrlmf	0.01437775985054348	0.002877371651785714	9.987571022727272e-05	9.987571022727272e-05	0.4003569504310345	0.001373291015625	1.0	0.0004523782169117647	0.6525170110887096
bxt_lso	0.00023542131696428572	0.0010986328125	0.23380533854166666	0.41806640624999997	9.987571022727272e-05	0.0196380615234375	0.0004523782169117647	1.0	9.987571022727272e-05
bxt_lso__nrlmf	0.01437775985054348	9.987571022727272e-05	9.987571022727272e-05	9.987571022727272e-05	0.8042933872767857	9.987571022727272e-05	0.6525170110887096	9.987571022727272e-05	1.0
