	bxt_gmo	bxt_gmosa	bxt_gso	bxt_gso_1k	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	0.16816929408482142	0.01856689453125	0.01611328125	0.37832919034090906	0.9235038757324219	0.6183268229166666	0.5198645958533654	0.3013723273026316
bxt_gmosa	0.16816929408482142	1.0	0.9235038757324219	0.71590576171875	0.9817449396306819	0.017264229910714284	0.6556564857219828	0.002197265625	0.16816929408482142
bxt_gso	0.01856689453125	0.9235038757324219	1.0	0.4644140625	0.22426757812499998	0.0076904296875	0.6556564857219828	0.01856689453125	0.01856689453125
bxt_gso_1k	0.01611328125	0.71590576171875	0.4644140625	1.0	0.011810302734375	0.01611328125	0.07489013671875	0.011810302734375	0.02496892755681818
bxt_gso__nrlmf	0.37832919034090906	0.9817449396306819	0.22426757812499998	0.011810302734375	1.0	0.24706313189338236	1.0	0.25946044921875	0.9951674517463236
bxt_lmo	0.9235038757324219	0.017264229910714284	0.0076904296875	0.01611328125	0.24706313189338236	1.0	0.39479131283967395	0.37832919034090906	0.34705810546875
bxt_lmo__nrlmf	0.6183268229166666	0.6556564857219828	0.6556564857219828	0.07489013671875	1.0	0.39479131283967395	1.0	0.4644140625	1.0
bxt_lso	0.5198645958533654	0.002197265625	0.01856689453125	0.011810302734375	0.25946044921875	0.37832919034090906	0.4644140625	1.0	0.24706313189338236
bxt_lso__nrlmf	0.3013723273026316	0.16816929408482142	0.01856689453125	0.02496892755681818	0.9951674517463236	0.34705810546875	1.0	0.24706313189338236	1.0
