	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf
bxt_gmo	1.0	5.340576171875e-05	5.340576171875e-05	0.05169677734375	0.00010052849264705883	0.5137713396990741	5.340576171875e-05	0.0014099121093749999
bxt_gmo__nrlmf	5.340576171875e-05	1.0	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05	5.340576171875e-05
bxt_gmosa	5.340576171875e-05	5.340576171875e-05	1.0	5.340576171875e-05	0.705718994140625	5.340576171875e-05	0.22768930288461536	5.340576171875e-05
bxt_gmosa__nrlmf	0.05169677734375	5.340576171875e-05	5.340576171875e-05	1.0	5.340576171875e-05	0.04082986582880435	0.0004497327302631579	0.011691006747159092
bxt_gso	0.00010052849264705883	5.340576171875e-05	0.705718994140625	5.340576171875e-05	1.0	5.340576171875e-05	0.1171337890625	5.340576171875e-05
bxt_gso__nrlmf	0.5137713396990741	5.340576171875e-05	5.340576171875e-05	0.04082986582880435	5.340576171875e-05	1.0	0.0022379557291666665	0.00014241536458333332
bxt_lmo	5.340576171875e-05	5.340576171875e-05	0.22768930288461536	0.0004497327302631579	0.1171337890625	0.0022379557291666665	1.0	5.340576171875e-05
bxt_lmo__nrlmf	0.0014099121093749999	5.340576171875e-05	5.340576171875e-05	0.011691006747159092	5.340576171875e-05	0.00014241536458333332	5.340576171875e-05	1.0
