	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf
bxt_gmo	1.0	3.715183423913044e-05	3.715183423913044e-05	0.8512957537615741	3.715183423913044e-05	0.979949951171875	3.715183423913044e-05	0.0008900960286458334
bxt_gmo__nrlmf	3.715183423913044e-05	1.0	3.715183423913044e-05	3.715183423913044e-05	3.715183423913044e-05	3.715183423913044e-05	3.715183423913044e-05	3.715183423913044e-05
bxt_gmosa	3.715183423913044e-05	3.715183423913044e-05	1.0	3.715183423913044e-05	3.715183423913044e-05	3.715183423913044e-05	3.715183423913044e-05	3.715183423913044e-05
bxt_gmosa__nrlmf	0.8512957537615741	3.715183423913044e-05	3.715183423913044e-05	1.0	3.715183423913044e-05	0.6424795297475961	3.715183423913044e-05	0.0023925781249999997
bxt_gso	3.715183423913044e-05	3.715183423913044e-05	3.715183423913044e-05	3.715183423913044e-05	1.0	3.715183423913044e-05	3.715183423913044e-05	3.715183423913044e-05
bxt_gso__nrlmf	0.979949951171875	3.715183423913044e-05	3.715183423913044e-05	0.6424795297475961	3.715183423913044e-05	1.0	3.715183423913044e-05	3.715183423913044e-05
bxt_lmo	3.715183423913044e-05	3.715183423913044e-05	3.715183423913044e-05	3.715183423913044e-05	3.715183423913044e-05	3.715183423913044e-05	1.0	3.715183423913044e-05
bxt_lmo__nrlmf	0.0008900960286458334	3.715183423913044e-05	3.715183423913044e-05	0.0023925781249999997	3.715183423913044e-05	3.715183423913044e-05	3.715183423913044e-05	1.0
