	bxt_gso	bxt_sgso	bxt_sgso_us
bxt_gso	1.0	0.93988037109375	4.57763671875e-05
bxt_sgso	0.93988037109375	1.0	4.57763671875e-05
bxt_sgso_us	4.57763671875e-05	4.57763671875e-05	1.0
