	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	0.012122844827586207	0.012122844827586207	0.012122844827586207	0.012122844827586207	0.012122844827586207	0.012122844827586207	0.012122844827586207	0.012122844827586207	0.012122844827586207
bxt_gmo__nrlmf	0.012122844827586207	1.0	0.012122844827586207	0.012122844827586207	0.012122844827586207	0.012122844827586207	0.012122844827586207	0.012122844827586207	0.012122844827586207	0.012122844827586207
bxt_gmosa	0.012122844827586207	0.012122844827586207	1.0	0.012122844827586207	1.0	0.023577655353963074	1.0	0.012122844827586207	1.0	0.012122844827586207
bxt_gmosa__nrlmf	0.012122844827586207	0.012122844827586207	0.012122844827586207	1.0	0.012122844827586207	0.054671333649966465	0.012122844827586207	1.0	0.012122844827586207	0.4459570784825456
bxt_gso	0.012122844827586207	0.012122844827586207	1.0	0.012122844827586207	1.0	0.023577655353963074	1.0	0.012122844827586207	1.0	0.012122844827586207
bxt_gso__nrlmf	0.012122844827586207	0.012122844827586207	0.023577655353963074	0.054671333649966465	0.023577655353963074	1.0	0.023577655353963074	0.6366626535158034	0.023577655353963074	0.9862406302291065
bxt_lmo	0.012122844827586207	0.012122844827586207	1.0	0.012122844827586207	1.0	0.023577655353963074	1.0	0.012122844827586207	1.0	0.012122844827586207
bxt_lmo__nrlmf	0.012122844827586207	0.012122844827586207	0.012122844827586207	1.0	0.012122844827586207	0.6366626535158034	0.012122844827586207	1.0	0.012122844827586207	0.3925171005438268
bxt_lso	0.012122844827586207	0.012122844827586207	1.0	0.012122844827586207	1.0	0.023577655353963074	1.0	0.012122844827586207	1.0	0.012122844827586207
bxt_lso__nrlmf	0.012122844827586207	0.012122844827586207	0.012122844827586207	0.4459570784825456	0.012122844827586207	0.9862406302291065	0.012122844827586207	0.3925171005438268	0.012122844827586207	1.0
