	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.11186079545454546	0.009014423076923076	0.03799914066859884	0.009014423076923076	0.009014423076923076
bxt_gmo__nrlmf	0.009014423076923076	1.0	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.009014423076923076
bxt_gmosa	0.009014423076923076	0.009014423076923076	1.0	0.009014423076923076	0.07154386597729703	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.017578125	0.009014423076923076
bxt_gmosa__nrlmf	0.009014423076923076	0.009014423076923076	0.009014423076923076	1.0	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.16142946236708333
bxt_gso	0.009014423076923076	0.009014423076923076	0.07154386597729703	0.009014423076923076	1.0	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.02572408536585366	0.009014423076923076
bxt_gso__nrlmf	0.11186079545454546	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.009014423076923076	1.0	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.009014423076923076
bxt_lmo	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.009014423076923076	1.0	0.009014423076923076	0.009014423076923076	0.009014423076923076
bxt_lmo__nrlmf	0.03799914066859884	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.009014423076923076	1.0	0.009014423076923076	0.009014423076923076
bxt_lso	0.009014423076923076	0.009014423076923076	0.017578125	0.009014423076923076	0.02572408536585366	0.009014423076923076	0.009014423076923076	0.009014423076923076	1.0	0.009014423076923076
bxt_lso__nrlmf	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.16142946236708333	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.009014423076923076	0.009014423076923076	1.0
