	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf
bxt_gmo	1.0	0.01676417101753675	0.0024857954545454545	0.0024857954545454545	0.0024857954545454545	0.0024857954545454545	0.0024857954545454545	0.0024857954545454545
bxt_gmo__nrlmf	0.01676417101753675	1.0	0.0024857954545454545	0.0024857954545454545	0.0024857954545454545	0.0024857954545454545	0.0024857954545454545	0.0024857954545454545
bxt_gmosa	0.0024857954545454545	0.0024857954545454545	1.0	0.0024857954545454545	0.10300091799519158	0.0024857954545454545	0.0024857954545454545	0.0024857954545454545
bxt_gmosa__nrlmf	0.0024857954545454545	0.0024857954545454545	0.0024857954545454545	1.0	0.0024857954545454545	0.2494174322213579	0.9187074054282889	0.007133152173913044
bxt_gso	0.0024857954545454545	0.0024857954545454545	0.10300091799519158	0.0024857954545454545	1.0	0.0024857954545454545	0.0024857954545454545	0.0024857954545454545
bxt_gso__nrlmf	0.0024857954545454545	0.0024857954545454545	0.0024857954545454545	0.2494174322213579	0.0024857954545454545	1.0	0.17247596153846154	0.0024857954545454545
bxt_lmo	0.0024857954545454545	0.0024857954545454545	0.0024857954545454545	0.9187074054282889	0.0024857954545454545	0.17247596153846154	1.0	0.0024857954545454545
bxt_lmo__nrlmf	0.0024857954545454545	0.0024857954545454545	0.0024857954545454545	0.007133152173913044	0.0024857954545454545	0.0024857954545454545	0.0024857954545454545	1.0
