dataset	estimator	LL_average_precision	LL_average_precision_rank	LL_average_precision_victories	LL_balanced_accuracy	LL_balanced_accuracy_rank	LL_balanced_accuracy_victories	LL_f1_macro	LL_f1_macro_rank	LL_f1_macro_victories	LL_f1_micro	LL_f1_micro_rank	LL_f1_micro_victories	LL_f1_weighted	LL_f1_weighted_rank	LL_f1_weighted_victories	LL_matthews_corrcoef	LL_matthews_corrcoef_rank	LL_matthews_corrcoef_victories	LL_precision_macro	LL_precision_macro_rank	LL_precision_macro_victories	LL_precision_micro	LL_precision_micro_rank	LL_precision_micro_victories	LL_precision_weighted	LL_precision_weighted_rank	LL_precision_weighted_victories	LL_recall_macro	LL_recall_macro_rank	LL_recall_macro_victories	LL_recall_micro	LL_recall_micro_rank	LL_recall_micro_victories	LL_recall_weighted	LL_recall_weighted_rank	LL_recall_weighted_victories	LL_roc_auc	LL_roc_auc_rank	LL_roc_auc_victories	LT+TL_average_precision	LT+TL_average_precision_rank	LT+TL_average_precision_victories	LT+TL_balanced_accuracy	LT+TL_balanced_accuracy_rank	LT+TL_balanced_accuracy_victories	LT+TL_f1_macro	LT+TL_f1_macro_rank	LT+TL_f1_macro_victories	LT+TL_f1_micro	LT+TL_f1_micro_rank	LT+TL_f1_micro_victories	LT+TL_f1_weighted	LT+TL_f1_weighted_rank	LT+TL_f1_weighted_victories	LT+TL_matthews_corrcoef	LT+TL_matthews_corrcoef_rank	LT+TL_matthews_corrcoef_victories	LT+TL_precision_macro	LT+TL_precision_macro_rank	LT+TL_precision_macro_victories	LT+TL_precision_micro	LT+TL_precision_micro_rank	LT+TL_precision_micro_victories	LT+TL_precision_weighted	LT+TL_precision_weighted_rank	LT+TL_precision_weighted_victories	LT+TL_recall_macro	LT+TL_recall_macro_rank	LT+TL_recall_macro_victories	LT+TL_recall_micro	LT+TL_recall_micro_rank	LT+TL_recall_micro_victories	LT+TL_recall_weighted	LT+TL_recall_weighted_rank	LT+TL_recall_weighted_victories	LT+TL_roc_auc	LT+TL_roc_auc_rank	LT+TL_roc_auc_victories	LT_average_precision	LT_average_precision_rank	LT_average_precision_victories	LT_balanced_accuracy	LT_balanced_accuracy_rank	LT_balanced_accuracy_victories	LT_f1_macro	LT_f1_macro_rank	LT_f1_macro_victories	LT_f1_micro	LT_f1_micro_rank	LT_f1_micro_victories	LT_f1_weighted	LT_f1_weighted_rank	LT_f1_weighted_victories	LT_matthews_corrcoef	LT_matthews_corrcoef_rank	LT_matthews_corrcoef_victories	LT_precision_macro	LT_precision_macro_rank	LT_precision_macro_victories	LT_precision_micro	LT_precision_micro_rank	LT_precision_micro_victories	LT_precision_weighted	LT_precision_weighted_rank	LT_precision_weighted_victories	LT_recall_macro	LT_recall_macro_rank	LT_recall_macro_victories	LT_recall_micro	LT_recall_micro_rank	LT_recall_micro_victories	LT_recall_weighted	LT_recall_weighted_rank	LT_recall_weighted_victories	LT_roc_auc	LT_roc_auc_rank	LT_roc_auc_victories	TL_average_precision	TL_average_precision_rank	TL_average_precision_victories	TL_balanced_accuracy	TL_balanced_accuracy_rank	TL_balanced_accuracy_victories	TL_f1_macro	TL_f1_macro_rank	TL_f1_macro_victories	TL_f1_micro	TL_f1_micro_rank	TL_f1_micro_victories	TL_f1_weighted	TL_f1_weighted_rank	TL_f1_weighted_victories	TL_matthews_corrcoef	TL_matthews_corrcoef_rank	TL_matthews_corrcoef_victories	TL_precision_macro	TL_precision_macro_rank	TL_precision_macro_victories	TL_precision_micro	TL_precision_micro_rank	TL_precision_micro_victories	TL_precision_weighted	TL_precision_weighted_rank	TL_precision_weighted_victories	TL_recall_macro	TL_recall_macro_rank	TL_recall_macro_victories	TL_recall_micro	TL_recall_micro_rank	TL_recall_micro_victories	TL_recall_weighted	TL_recall_weighted_rank	TL_recall_weighted_victories	TL_roc_auc	TL_roc_auc_rank	TL_roc_auc_victories	TT_average_precision	TT_average_precision_rank	TT_average_precision_victories	TT_balanced_accuracy	TT_balanced_accuracy_rank	TT_balanced_accuracy_victories	TT_f1_macro	TT_f1_macro_rank	TT_f1_macro_victories	TT_f1_micro	TT_f1_micro_rank	TT_f1_micro_victories	TT_f1_weighted	TT_f1_weighted_rank	TT_f1_weighted_victories	TT_matthews_corrcoef	TT_matthews_corrcoef_rank	TT_matthews_corrcoef_victories	TT_precision_macro	TT_precision_macro_rank	TT_precision_macro_victories	TT_precision_micro	TT_precision_micro_rank	TT_precision_micro_victories	TT_precision_weighted	TT_precision_weighted_rank	TT_precision_weighted_victories	TT_recall_macro	TT_recall_macro_rank	TT_recall_macro_victories	TT_recall_micro	TT_recall_micro_rank	TT_recall_micro_victories	TT_recall_weighted	TT_recall_weighted_rank	TT_recall_weighted_victories	TT_roc_auc	TT_roc_auc_rank	TT_roc_auc_victories	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories	score_time	score_time_rank	score_time_victories
all_datasets	brf_gmo	0.12 (0.04)	0.12 (0.05)	0.0 (0.0)	0.2 (0.04)	0.19 (0.05)	0.0 (0.0)	0.2 (0.03)	0.2 (0.03)	0.0 (0.0)	0.2 (0.03)	0.21 (0.02)	0.0 (0.0)	0.2 (0.03)	0.21 (0.02)	0.0 (0.0)	0.2 (0.04)	0.2 (0.05)	0.0 (0.0)	0.2 (0.04)	0.2 (0.05)	0.0 (0.0)	0.2 (0.03)	0.21 (0.02)	0.0 (0.0)	0.19 (0.05)	0.19 (0.05)	0.0 (0.0)	0.2 (0.04)	0.19 (0.05)	0.0 (0.0)	0.2 (0.03)	0.21 (0.02)	0.0 (0.0)	0.2 (0.03)	0.21 (0.02)	0.0 (0.0)	0.1 (0.03)	0.09 (0.03)	0.0 (0.0)	0.23 (0.11)	0.19 (0.06)	0.0 (0.0)	0.46 (0.2)	0.44 (0.28)	0.1 (0.32)	0.22 (0.01)	0.21 (0.0)	0.0 (0.0)	0.22 (0.01)	0.21 (0.0)	0.0 (0.0)	0.22 (0.01)	0.21 (0.0)	0.0 (0.0)	0.23 (0.05)	0.21 (0.05)	0.0 (0.0)	0.21 (0.03)	0.2 (0.05)	0.0 (0.0)	0.22 (0.01)	0.21 (0.0)	0.0 (0.0)	0.47 (0.18)	0.44 (0.28)	0.0 (0.0)	0.46 (0.2)	0.44 (0.28)	0.1 (0.32)	0.22 (0.01)	0.21 (0.0)	0.0 (0.0)	0.22 (0.01)	0.21 (0.0)	0.0 (0.0)	0.62 (0.24)	0.63 (0.3)	0.1 (0.32)	0.53 (0.21)	0.51 (0.29)	0.0 (0.0)	0.69 (0.24)	0.7 (0.3)	0.1 (0.32)	0.24 (0.04)	0.23 (0.05)	0.0 (0.0)	0.23 (0.02)	0.22 (0.01)	0.0 (0.0)	0.23 (0.03)	0.23 (0.05)	0.0 (0.0)	0.44 (0.23)	0.4 (0.31)	0.0 (0.0)	0.32 (0.16)	0.28 (0.17)	0.0 (0.0)	0.23 (0.02)	0.22 (0.01)	0.0 (0.0)	0.63 (0.24)	0.62 (0.31)	0.1 (0.32)	0.69 (0.24)	0.7 (0.3)	0.1 (0.32)	0.23 (0.02)	0.22 (0.01)	0.0 (0.0)	0.23 (0.02)	0.22 (0.01)	0.0 (0.0)	0.69 (0.24)	0.72 (0.26)	0.1 (0.32)	0.22 (0.18)	0.22 (0.23)	0.0 (0.0)	0.3 (0.17)	0.29 (0.24)	0.0 (0.0)	0.21 (0.05)	0.2 (0.05)	0.0 (0.0)	0.21 (0.05)	0.2 (0.05)	0.0 (0.0)	0.21 (0.05)	0.2 (0.05)	0.0 (0.0)	0.22 (0.08)	0.21 (0.08)	0.0 (0.0)	0.21 (0.07)	0.17 (0.07)	0.0 (0.0)	0.21 (0.05)	0.2 (0.05)	0.0 (0.0)	0.29 (0.21)	0.27 (0.25)	0.0 (0.0)	0.3 (0.17)	0.29 (0.24)	0.0 (0.0)	0.21 (0.05)	0.2 (0.05)	0.0 (0.0)	0.21 (0.05)	0.2 (0.05)	0.0 (0.0)	0.47 (0.3)	0.5 (0.33)	0.0 (0.0)	0.65 (0.15)	0.66 (0.28)	0.1 (0.32)	0.75 (0.17)	0.78 (0.24)	0.2 (0.42)	0.27 (0.05)	0.24 (0.05)	0.0 (0.0)	0.25 (0.04)	0.24 (0.04)	0.0 (0.0)	0.25 (0.04)	0.24 (0.04)	0.0 (0.0)	0.55 (0.18)	0.55 (0.28)	0.1 (0.32)	0.4 (0.14)	0.34 (0.19)	0.0 (0.0)	0.25 (0.04)	0.24 (0.04)	0.0 (0.0)	0.69 (0.15)	0.75 (0.22)	0.0 (0.0)	0.75 (0.17)	0.78 (0.24)	0.2 (0.42)	0.25 (0.04)	0.24 (0.04)	0.0 (0.0)	0.25 (0.04)	0.24 (0.04)	0.0 (0.0)	0.7 (0.17)	0.75 (0.26)	0.2 (0.42)	0.68 (0.11)	0.68 (0.11)	0.0 (0.0)	0.57 (0.16)	0.56 (0.18)	0.0 (0.0)	0.78 (0.05)	0.78 (0.04)	0.0 (0.0)
all_datasets	brf_gmosa	0.49 (0.05)	0.49 (0.07)	0.0 (0.0)	0.59 (0.04)	0.59 (0.03)	0.0 (0.0)	0.59 (0.04)	0.59 (0.03)	0.0 (0.0)	0.59 (0.04)	0.59 (0.03)	0.0 (0.0)	0.59 (0.04)	0.59 (0.03)	0.0 (0.0)	0.59 (0.04)	0.59 (0.03)	0.0 (0.0)	0.59 (0.04)	0.59 (0.03)	0.0 (0.0)	0.59 (0.04)	0.59 (0.03)	0.0 (0.0)	0.59 (0.04)	0.59 (0.03)	0.0 (0.0)	0.59 (0.04)	0.59 (0.03)	0.0 (0.0)	0.59 (0.04)	0.59 (0.03)	0.0 (0.0)	0.59 (0.04)	0.59 (0.03)	0.0 (0.0)	0.49 (0.05)	0.48 (0.06)	0.0 (0.0)	0.49 (0.12)	0.43 (0.14)	0.0 (0.0)	0.43 (0.14)	0.34 (0.16)	0.0 (0.0)	0.67 (0.14)	0.67 (0.14)	0.1 (0.32)	0.71 (0.16)	0.71 (0.16)	0.1 (0.32)	0.7 (0.15)	0.69 (0.15)	0.1 (0.32)	0.62 (0.12)	0.64 (0.12)	0.0 (0.0)	0.66 (0.15)	0.67 (0.16)	0.1 (0.32)	0.71 (0.16)	0.71 (0.16)	0.1 (0.32)	0.25 (0.09)	0.18 (0.11)	0.0 (0.0)	0.43 (0.14)	0.34 (0.16)	0.0 (0.0)	0.71 (0.16)	0.71 (0.16)	0.1 (0.32)	0.71 (0.16)	0.71 (0.16)	0.1 (0.32)	0.43 (0.16)	0.39 (0.22)	0.0 (0.0)	0.5 (0.13)	0.44 (0.2)	0.0 (0.0)	0.47 (0.16)	0.41 (0.22)	0.0 (0.0)	0.69 (0.1)	0.69 (0.12)	0.0 (0.0)	0.7 (0.13)	0.69 (0.16)	0.0 (0.0)	0.69 (0.12)	0.68 (0.15)	0.0 (0.0)	0.57 (0.13)	0.59 (0.18)	0.0 (0.0)	0.64 (0.06)	0.67 (0.12)	0.0 (0.0)	0.7 (0.13)	0.69 (0.16)	0.0 (0.0)	0.34 (0.11)	0.24 (0.17)	0.0 (0.0)	0.47 (0.16)	0.41 (0.22)	0.0 (0.0)	0.7 (0.13)	0.69 (0.16)	0.0 (0.0)	0.7 (0.13)	0.69 (0.16)	0.0 (0.0)	0.45 (0.13)	0.41 (0.17)	0.0 (0.0)	0.48 (0.16)	0.5 (0.25)	0.1 (0.32)	0.45 (0.18)	0.46 (0.23)	0.0 (0.0)	0.66 (0.15)	0.66 (0.15)	0.1 (0.32)	0.69 (0.17)	0.69 (0.17)	0.2 (0.42)	0.68 (0.17)	0.69 (0.17)	0.2 (0.42)	0.63 (0.14)	0.64 (0.12)	0.0 (0.0)	0.66 (0.16)	0.67 (0.15)	0.1 (0.32)	0.69 (0.17)	0.69 (0.17)	0.2 (0.42)	0.32 (0.16)	0.29 (0.16)	0.0 (0.0)	0.45 (0.18)	0.46 (0.23)	0.0 (0.0)	0.69 (0.17)	0.69 (0.17)	0.2 (0.42)	0.69 (0.17)	0.69 (0.17)	0.2 (0.42)	0.41 (0.25)	0.45 (0.34)	0.0 (0.0)	0.42 (0.11)	0.34 (0.18)	0.0 (0.0)	0.42 (0.14)	0.28 (0.19)	0.0 (0.0)	0.7 (0.12)	0.71 (0.13)	0.0 (0.0)	0.74 (0.15)	0.75 (0.15)	0.2 (0.42)	0.74 (0.14)	0.75 (0.15)	0.2 (0.42)	0.47 (0.15)	0.38 (0.24)	0.0 (0.0)	0.54 (0.07)	0.51 (0.19)	0.0 (0.0)	0.74 (0.15)	0.75 (0.15)	0.2 (0.42)	0.31 (0.12)	0.18 (0.14)	0.0 (0.0)	0.42 (0.14)	0.28 (0.19)	0.0 (0.0)	0.74 (0.15)	0.75 (0.15)	0.2 (0.42)	0.74 (0.15)	0.75 (0.15)	0.2 (0.42)	0.41 (0.1)	0.35 (0.19)	0.0 (0.0)	0.49 (0.11)	0.49 (0.12)	0.0 (0.0)	0.74 (0.08)	0.74 (0.08)	0.0 (0.0)	<b>0.22 (0.08)</b>	<b>0.17 (0.11)</b>	<b>0.0 (0.0)</b>
all_datasets	brf_gso	0.54 (0.03)	0.55 (0.03)	0.0 (0.0)	0.41 (0.05)	0.42 (0.07)	0.0 (0.0)	0.41 (0.05)	0.42 (0.07)	0.0 (0.0)	0.41 (0.05)	0.42 (0.07)	0.0 (0.0)	0.41 (0.05)	0.42 (0.07)	0.0 (0.0)	0.41 (0.05)	0.42 (0.07)	0.0 (0.0)	0.41 (0.05)	0.42 (0.07)	0.0 (0.0)	0.41 (0.05)	0.42 (0.07)	0.0 (0.0)	0.41 (0.05)	0.42 (0.07)	0.0 (0.0)	0.41 (0.05)	0.42 (0.07)	0.0 (0.0)	0.41 (0.05)	0.42 (0.07)	0.0 (0.0)	0.41 (0.05)	0.42 (0.07)	0.0 (0.0)	0.55 (0.03)	0.54 (0.05)	0.0 (0.0)	0.44 (0.1)	0.38 (0.1)	0.0 (0.0)	0.5 (0.08)	0.42 (0.1)	0.0 (0.0)	0.37 (0.05)	0.38 (0.07)	0.0 (0.0)	0.38 (0.04)	0.39 (0.06)	0.0 (0.0)	0.38 (0.04)	0.39 (0.05)	0.0 (0.0)	0.36 (0.07)	0.35 (0.08)	0.0 (0.0)	0.36 (0.06)	0.36 (0.07)	0.0 (0.0)	0.38 (0.04)	0.39 (0.06)	0.0 (0.0)	0.36 (0.09)	0.29 (0.13)	0.0 (0.0)	0.5 (0.08)	0.42 (0.1)	0.0 (0.0)	0.38 (0.04)	0.39 (0.06)	0.0 (0.0)	0.38 (0.04)	0.39 (0.06)	0.0 (0.0)	0.51 (0.15)	0.53 (0.21)	0.0 (0.0)	0.5 (0.11)	0.47 (0.18)	0.0 (0.0)	0.62 (0.13)	0.66 (0.22)	0.0 (0.0)	0.37 (0.05)	0.36 (0.08)	0.0 (0.0)	0.38 (0.05)	0.36 (0.07)	0.0 (0.0)	0.38 (0.05)	0.36 (0.08)	0.0 (0.0)	0.44 (0.14)	0.42 (0.21)	0.0 (0.0)	0.38 (0.1)	0.35 (0.13)	0.0 (0.0)	0.38 (0.05)	0.36 (0.07)	0.0 (0.0)	0.5 (0.12)	0.53 (0.17)	0.0 (0.0)	0.62 (0.13)	0.66 (0.22)	0.0 (0.0)	0.38 (0.05)	0.36 (0.07)	0.0 (0.0)	0.38 (0.05)	0.36 (0.07)	0.0 (0.0)	0.54 (0.1)	0.56 (0.18)	0.0 (0.0)	0.44 (0.11)	0.39 (0.11)	0.0 (0.0)	0.43 (0.11)	0.4 (0.14)	0.0 (0.0)	0.38 (0.05)	0.4 (0.07)	0.0 (0.0)	0.38 (0.05)	0.4 (0.06)	0.0 (0.0)	0.38 (0.05)	0.39 (0.06)	0.0 (0.0)	0.38 (0.06)	0.38 (0.1)	0.0 (0.0)	0.37 (0.06)	0.39 (0.09)	0.0 (0.0)	0.38 (0.05)	0.4 (0.06)	0.0 (0.0)	0.31 (0.12)	0.27 (0.16)	0.0 (0.0)	0.43 (0.11)	0.4 (0.14)	0.0 (0.0)	0.38 (0.05)	0.4 (0.06)	0.0 (0.0)	0.38 (0.05)	0.4 (0.06)	0.0 (0.0)	0.45 (0.16)	0.46 (0.22)	0.0 (0.0)	0.4 (0.08)	0.3 (0.09)	0.0 (0.0)	0.57 (0.12)	0.57 (0.27)	0.1 (0.32)	0.4 (0.09)	0.37 (0.08)	0.0 (0.0)	0.39 (0.06)	0.38 (0.09)	0.0 (0.0)	0.39 (0.06)	0.39 (0.09)	0.0 (0.0)	0.42 (0.1)	0.3 (0.16)	0.0 (0.0)	0.35 (0.11)	0.23 (0.13)	0.0 (0.0)	0.39 (0.06)	0.38 (0.09)	0.0 (0.0)	0.47 (0.1)	0.43 (0.18)	0.0 (0.0)	0.57 (0.12)	0.57 (0.27)	0.1 (0.32)	0.39 (0.06)	0.38 (0.09)	0.0 (0.0)	0.39 (0.06)	0.38 (0.09)	0.0 (0.0)	0.43 (0.14)	0.45 (0.22)	0.0 (0.0)	0.28 (0.11)	0.29 (0.12)	0.0 (0.0)	0.51 (0.11)	0.51 (0.11)	0.0 (0.0)	0.3 (0.08)	0.29 (0.13)	0.0 (0.0)
all_datasets	brf_lmo	0.47 (0.06)	0.44 (0.06)	0.0 (0.0)	0.44 (0.05)	0.43 (0.06)	0.0 (0.0)	0.44 (0.05)	0.43 (0.06)	0.0 (0.0)	0.44 (0.05)	0.43 (0.06)	0.0 (0.0)	0.44 (0.05)	0.43 (0.06)	0.0 (0.0)	0.44 (0.05)	0.43 (0.06)	0.0 (0.0)	0.44 (0.05)	0.43 (0.06)	0.0 (0.0)	0.44 (0.05)	0.43 (0.06)	0.0 (0.0)	0.44 (0.05)	0.43 (0.06)	0.0 (0.0)	0.44 (0.05)	0.43 (0.06)	0.0 (0.0)	0.44 (0.05)	0.43 (0.06)	0.0 (0.0)	0.44 (0.05)	0.43 (0.06)	0.0 (0.0)	0.47 (0.06)	0.46 (0.06)	0.0 (0.0)	0.61 (0.13)	0.61 (0.18)	0.0 (0.0)	0.61 (0.2)	0.57 (0.28)	0.2 (0.42)	0.39 (0.05)	0.38 (0.06)	0.0 (0.0)	0.41 (0.11)	0.41 (0.14)	0.0 (0.0)	0.41 (0.11)	0.41 (0.14)	0.0 (0.0)	0.43 (0.1)	0.39 (0.11)	0.0 (0.0)	0.39 (0.07)	0.38 (0.09)	0.0 (0.0)	0.41 (0.11)	0.41 (0.14)	0.0 (0.0)	0.46 (0.22)	0.41 (0.28)	0.0 (0.0)	0.61 (0.2)	0.57 (0.28)	0.2 (0.42)	0.41 (0.11)	0.41 (0.14)	0.0 (0.0)	0.41 (0.11)	0.41 (0.14)	0.0 (0.0)	0.7 (0.2)	0.74 (0.25)	0.1 (0.32)	0.58 (0.15)	0.57 (0.23)	0.1 (0.32)	0.63 (0.18)	0.64 (0.27)	0.1 (0.32)	0.44 (0.15)	0.41 (0.14)	0.0 (0.0)	0.43 (0.14)	0.44 (0.13)	0.0 (0.0)	0.43 (0.14)	0.43 (0.13)	0.0 (0.0)	0.5 (0.14)	0.43 (0.2)	0.0 (0.0)	0.43 (0.08)	0.41 (0.14)	0.0 (0.0)	0.43 (0.14)	0.44 (0.13)	0.0 (0.0)	0.51 (0.17)	0.49 (0.23)	0.0 (0.0)	0.63 (0.18)	0.64 (0.27)	0.1 (0.32)	0.43 (0.14)	0.44 (0.13)	0.0 (0.0)	0.43 (0.14)	0.44 (0.13)	0.0 (0.0)	0.64 (0.2)	0.68 (0.28)	0.1 (0.32)	0.6 (0.13)	0.61 (0.18)	0.0 (0.0)	0.54 (0.17)	0.51 (0.22)	0.0 (0.0)	0.39 (0.07)	0.37 (0.07)	0.0 (0.0)	0.39 (0.07)	0.37 (0.07)	0.0 (0.0)	0.39 (0.06)	0.37 (0.07)	0.0 (0.0)	0.4 (0.09)	0.38 (0.13)	0.0 (0.0)	0.38 (0.08)	0.36 (0.1)	0.0 (0.0)	0.39 (0.07)	0.37 (0.07)	0.0 (0.0)	0.4 (0.11)	0.39 (0.16)	0.0 (0.0)	0.54 (0.17)	0.51 (0.22)	0.0 (0.0)	0.39 (0.07)	0.37 (0.07)	0.0 (0.0)	0.39 (0.07)	0.37 (0.07)	0.0 (0.0)	0.71 (0.17)	0.75 (0.19)	0.1 (0.32)	0.56 (0.11)	0.57 (0.2)	0.0 (0.0)	0.65 (0.15)	0.74 (0.2)	0.0 (0.0)	0.45 (0.13)	0.41 (0.12)	0.0 (0.0)	0.42 (0.12)	0.4 (0.11)	0.0 (0.0)	0.42 (0.11)	0.4 (0.11)	0.0 (0.0)	0.54 (0.12)	0.59 (0.22)	0.0 (0.0)	0.46 (0.07)	0.43 (0.12)	0.0 (0.0)	0.42 (0.12)	0.4 (0.11)	0.0 (0.0)	0.55 (0.14)	0.54 (0.22)	0.0 (0.0)	0.65 (0.15)	0.74 (0.2)	0.0 (0.0)	0.42 (0.12)	0.4 (0.11)	0.0 (0.0)	0.42 (0.12)	0.4 (0.11)	0.0 (0.0)	0.58 (0.18)	0.63 (0.29)	0.0 (0.0)	0.57 (0.14)	0.56 (0.14)	0.0 (0.0)	0.31 (0.14)	0.31 (0.14)	0.0 (0.0)	0.75 (0.06)	0.75 (0.06)	0.0 (0.0)
all_datasets	brf_lso	0.4 (0.05)	0.38 (0.03)	0.0 (0.0)	0.44 (0.05)	0.44 (0.06)	0.0 (0.0)	0.44 (0.06)	0.44 (0.06)	0.0 (0.0)	0.44 (0.06)	0.44 (0.06)	0.0 (0.0)	0.44 (0.06)	0.44 (0.06)	0.0 (0.0)	0.44 (0.06)	0.44 (0.06)	0.0 (0.0)	0.44 (0.06)	0.44 (0.06)	0.0 (0.0)	0.44 (0.06)	0.44 (0.06)	0.0 (0.0)	0.44 (0.05)	0.44 (0.06)	0.0 (0.0)	0.44 (0.05)	0.44 (0.06)	0.0 (0.0)	0.44 (0.06)	0.44 (0.06)	0.0 (0.0)	0.44 (0.06)	0.44 (0.06)	0.0 (0.0)	0.4 (0.05)	0.37 (0.02)	0.0 (0.0)	0.52 (0.1)	0.5 (0.12)	0.0 (0.0)	0.44 (0.11)	0.36 (0.16)	0.0 (0.0)	0.53 (0.11)	0.52 (0.1)	0.0 (0.0)	0.56 (0.12)	0.56 (0.11)	0.0 (0.0)	0.56 (0.12)	0.56 (0.11)	0.0 (0.0)	0.49 (0.1)	0.49 (0.14)	0.0 (0.0)	0.51 (0.1)	0.51 (0.11)	0.0 (0.0)	0.56 (0.12)	0.56 (0.11)	0.0 (0.0)	0.26 (0.11)	0.18 (0.12)	0.0 (0.0)	0.44 (0.11)	0.36 (0.16)	0.0 (0.0)	0.56 (0.12)	0.56 (0.11)	0.0 (0.0)	0.56 (0.12)	0.56 (0.11)	0.0 (0.0)	0.49 (0.25)	0.53 (0.32)	0.1 (0.32)	0.49 (0.16)	0.48 (0.24)	0.1 (0.32)	0.51 (0.09)	0.48 (0.16)	0.0 (0.0)	0.56 (0.12)	0.58 (0.14)	0.0 (0.0)	0.57 (0.11)	0.58 (0.14)	0.0 (0.0)	0.57 (0.11)	0.58 (0.14)	0.0 (0.0)	0.49 (0.08)	0.45 (0.12)	0.0 (0.0)	0.53 (0.11)	0.54 (0.17)	0.0 (0.0)	0.57 (0.11)	0.58 (0.14)	0.0 (0.0)	0.36 (0.09)	0.3 (0.16)	0.0 (0.0)	0.51 (0.09)	0.48 (0.16)	0.0 (0.0)	0.57 (0.11)	0.58 (0.14)	0.0 (0.0)	0.57 (0.11)	0.58 (0.14)	0.0 (0.0)	0.48 (0.2)	0.51 (0.27)	0.0 (0.0)	0.53 (0.12)	0.55 (0.2)	0.1 (0.32)	0.45 (0.12)	0.42 (0.11)	0.0 (0.0)	0.53 (0.11)	0.52 (0.12)	0.0 (0.0)	0.53 (0.11)	0.54 (0.1)	0.0 (0.0)	0.53 (0.11)	0.54 (0.1)	0.0 (0.0)	0.5 (0.12)	0.49 (0.15)	0.0 (0.0)	0.52 (0.11)	0.52 (0.12)	0.0 (0.0)	0.53 (0.11)	0.54 (0.1)	0.0 (0.0)	0.29 (0.14)	0.25 (0.12)	0.0 (0.0)	0.45 (0.12)	0.42 (0.11)	0.0 (0.0)	0.53 (0.11)	0.54 (0.1)	0.0 (0.0)	0.53 (0.11)	0.54 (0.1)	0.0 (0.0)	0.48 (0.23)	0.54 (0.29)	0.1 (0.32)	0.52 (0.13)	0.56 (0.24)	0.0 (0.0)	0.5 (0.07)	0.44 (0.11)	0.0 (0.0)	0.59 (0.13)	0.58 (0.17)	0.0 (0.0)	0.58 (0.12)	0.59 (0.12)	0.0 (0.0)	0.58 (0.12)	0.59 (0.13)	0.0 (0.0)	0.47 (0.06)	0.4 (0.12)	0.0 (0.0)	0.5 (0.11)	0.42 (0.23)	0.0 (0.0)	0.58 (0.12)	0.59 (0.12)	0.0 (0.0)	0.37 (0.08)	0.27 (0.14)	0.0 (0.0)	0.5 (0.07)	0.44 (0.11)	0.0 (0.0)	0.58 (0.12)	0.59 (0.12)	0.0 (0.0)	0.58 (0.12)	0.59 (0.12)	0.0 (0.0)	0.5 (0.13)	0.55 (0.25)	0.1 (0.32)	0.99 (0.05)	0.99 (0.05)	0.9 (0.32)	0.78 (0.13)	0.79 (0.12)	0.1 (0.32)	1.0 (0.0)	1.0 (0.0)	1.0 (0.0)
