	brf_gmosa	brf_gso	brf_gso__nrlmf	brf_lmo	brf_lmo__nrlmf	brf_lso
brf_gmosa	1.0	0.0029296875	0.0086380372597685	0.011268028846153846	0.5750621301739497	0.0029296875
brf_gso	0.0029296875	1.0	0.0029296875	0.0029296875	0.0029296875	0.0029296875
brf_gso__nrlmf	0.0086380372597685	0.0029296875	1.0	0.06905691964285714	0.0086380372597685	0.0029296875
brf_lmo	0.011268028846153846	0.0029296875	0.06905691964285714	1.0	0.0029296875	0.0029296875
brf_lmo__nrlmf	0.5750621301739497	0.0029296875	0.0086380372597685	0.0029296875	1.0	0.0029296875
brf_lso	0.0029296875	0.0029296875	0.0029296875	0.0029296875	0.0029296875	1.0
