	brf_gmo__nrlmf_y_reconstruction	brf_gmo__regressor_to_classifier	brf_gmosa__regressor_to_classifier	brf_gso__nrlmf_y_reconstruction	brf_gso__regressor_to_classifier	brf_lmo__nrlmf_y_reconstruction	brf_lmo__regressor_to_classifier	brf_lso__regressor_to_classifier	brf_sgso__regressor_to_classifier	brf_sgso_us__regressor_to_classifier	bxt_gmo__regressor_to_classifier	bxt_gmosa__regressor_to_classifier	bxt_gso__nrlmf_y_reconstruction	bxt_gso__regressor_to_classifier	bxt_lmo__nrlmf_y_reconstruction	bxt_lmo__regressor_to_classifier	bxt_lso__nrlmf_y_reconstruction	bxt_lso__regressor_to_classifier	bxt_sgso__regressor_to_classifier	bxt_sgso_us__regressor_to_classifier	nrlmf__
brf_gmo__nrlmf_y_reconstruction	1.0	0.013903601694915254	0.10516826923076923	0.013903601694915254	0.013903601694915254	0.034418706293706296	0.013903601694915254	0.055426520270270264	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.02631129655442256	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254
brf_gmo__regressor_to_classifier	0.013903601694915254	1.0	0.013903601694915254	0.013903601694915254	0.7754197761194029	0.013903601694915254	0.185546875	0.055426520270270264	0.024126838235294115	0.013903601694915254	0.013903601694915254	0.024126838235294115	0.185546875	0.3547297297297297	0.024126838235294115	0.034418706293706296	0.024126838235294115	0.024126838235294115	0.5375998348817425	0.013903601694915254	0.013903601694915254
brf_gmosa__regressor_to_classifier	0.10516826923076923	0.013903601694915254	1.0	0.5919780927835051	0.013903601694915254	0.14266304347826086	0.013903601694915254	0.024126838235294115	0.07555509868421052	0.013903601694915254	0.013903601694915254	0.3547297297297297	0.013903601694915254	0.013903601694915254	0.185546875	0.024126838235294115	0.055426520270270264	0.4298963903743316	0.013903601694915254	0.024126838235294115	0.013903601694915254
brf_gso__nrlmf_y_reconstruction	0.013903601694915254	0.013903601694915254	0.5919780927835051	1.0	0.024126838235294115	0.185546875	0.024126838235294115	0.29329608938547486	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.024126838235294115	0.013903601694915254	0.14266304347826086	0.024126838235294115	0.013903601694915254	0.024126838235294115	0.013903601694915254	0.013903601694915254	0.013903601694915254
brf_gso__regressor_to_classifier	0.013903601694915254	0.7754197761194029	0.013903601694915254	0.024126838235294115	1.0	0.013903601694915254	0.29329608938547486	0.013903601694915254	0.29329608938547486	0.013903601694915254	0.013903601694915254	0.14266304347826086	0.013903601694915254	0.7754197761194029	0.013903601694915254	0.29329608938547486	0.185546875	0.07555509868421052	0.6863839285714286	0.013903601694915254	0.013903601694915254
brf_lmo__nrlmf_y_reconstruction	0.034418706293706296	0.013903601694915254	0.14266304347826086	0.185546875	0.013903601694915254	1.0	0.013903601694915254	0.055426520270270264	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254
brf_lmo__regressor_to_classifier	0.013903601694915254	0.185546875	0.013903601694915254	0.024126838235294115	0.29329608938547486	0.013903601694915254	1.0	0.10516826923076923	0.8601334951456311	0.013903601694915254	0.013903601694915254	0.29329608938547486	0.6863839285714286	0.185546875	0.034418706293706296	0.3547297297297297	0.5919780927835051	0.14266304347826086	0.3547297297297297	0.013903601694915254	0.013903601694915254
brf_lso__regressor_to_classifier	0.055426520270270264	0.055426520270270264	0.024126838235294115	0.29329608938547486	0.013903601694915254	0.055426520270270264	0.10516826923076923	1.0	0.29329608938547486	0.013903601694915254	0.013903601694915254	0.8601334951456311	0.024126838235294115	0.013903601694915254	0.7754197761194029	0.5919780927835051	0.23985745614035087	0.7754197761194029	0.02631129655442256	0.024126838235294115	0.013903601694915254
brf_sgso__regressor_to_classifier	0.013903601694915254	0.024126838235294115	0.07555509868421052	0.013903601694915254	0.29329608938547486	0.013903601694915254	0.8601334951456311	0.29329608938547486	1.0	0.013903601694915254	0.013903601694915254	0.514876994680851	0.7754197761194029	0.14266304347826086	0.07555509868421052	0.8601334951456311	1.0	0.29329608938547486	0.10516826923076923	0.013903601694915254	0.013903601694915254
brf_sgso_us__regressor_to_classifier	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	1.0	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.2534387958748901
bxt_gmo__regressor_to_classifier	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	1.0	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254
bxt_gmosa__regressor_to_classifier	0.013903601694915254	0.024126838235294115	0.3547297297297297	0.013903601694915254	0.14266304347826086	0.013903601694915254	0.29329608938547486	0.8601334951456311	0.514876994680851	0.013903601694915254	0.013903601694915254	1.0	0.4298963903743316	0.013903601694915254	0.5919780927835051	0.3547297297297297	0.23985745614035087	0.897182455711306	0.013903601694915254	0.013903601694915254	0.013903601694915254
bxt_gso__nrlmf_y_reconstruction	0.013903601694915254	0.185546875	0.013903601694915254	0.024126838235294115	0.013903601694915254	0.013903601694915254	0.6863839285714286	0.024126838235294115	0.7754197761194029	0.013903601694915254	0.013903601694915254	0.4298963903743316	1.0	0.024126838235294115	0.013903601694915254	0.5919780927835051	1.0	0.185546875	0.07555509868421052	0.013903601694915254	0.013903601694915254
bxt_gso__regressor_to_classifier	0.013903601694915254	0.3547297297297297	0.013903601694915254	0.013903601694915254	0.7754197761194029	0.013903601694915254	0.185546875	0.013903601694915254	0.14266304347826086	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.024126838235294115	1.0	0.013903601694915254	0.034418706293706296	0.034418706293706296	0.013903601694915254	0.8601334951456311	0.013903601694915254	0.013903601694915254
bxt_lmo__nrlmf_y_reconstruction	0.02631129655442256	0.024126838235294115	0.185546875	0.14266304347826086	0.013903601694915254	0.013903601694915254	0.034418706293706296	0.7754197761194029	0.07555509868421052	0.013903601694915254	0.013903601694915254	0.5919780927835051	0.013903601694915254	0.013903601694915254	1.0	0.3057049316448527	0.024126838235294115	0.897182455711306	0.013903601694915254	0.013903601694915254	0.013903601694915254
bxt_lmo__regressor_to_classifier	0.013903601694915254	0.034418706293706296	0.024126838235294115	0.024126838235294115	0.29329608938547486	0.013903601694915254	0.3547297297297297	0.5919780927835051	0.8601334951456311	0.013903601694915254	0.013903601694915254	0.3547297297297297	0.5919780927835051	0.034418706293706296	0.3057049316448527	1.0	0.8601334951456311	0.23985745614035087	0.055426520270270264	0.013903601694915254	0.013903601694915254
bxt_lso__nrlmf_y_reconstruction	0.013903601694915254	0.024126838235294115	0.055426520270270264	0.013903601694915254	0.185546875	0.013903601694915254	0.5919780927835051	0.23985745614035087	1.0	0.013903601694915254	0.013903601694915254	0.23985745614035087	1.0	0.034418706293706296	0.024126838235294115	0.8601334951456311	1.0	0.024126838235294115	0.013903601694915254	0.013903601694915254	0.013903601694915254
bxt_lso__regressor_to_classifier	0.013903601694915254	0.024126838235294115	0.4298963903743316	0.024126838235294115	0.07555509868421052	0.013903601694915254	0.14266304347826086	0.7754197761194029	0.29329608938547486	0.013903601694915254	0.013903601694915254	0.897182455711306	0.185546875	0.013903601694915254	0.897182455711306	0.23985745614035087	0.024126838235294115	1.0	0.013903601694915254	0.013903601694915254	0.013903601694915254
bxt_sgso__regressor_to_classifier	0.013903601694915254	0.5375998348817425	0.013903601694915254	0.013903601694915254	0.6863839285714286	0.013903601694915254	0.3547297297297297	0.02631129655442256	0.10516826923076923	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.07555509868421052	0.8601334951456311	0.013903601694915254	0.055426520270270264	0.013903601694915254	0.013903601694915254	1.0	0.013903601694915254	0.013903601694915254
bxt_sgso_us__regressor_to_classifier	0.013903601694915254	0.013903601694915254	0.024126838235294115	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.024126838235294115	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	1.0	0.0938331314124898
nrlmf__	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.2534387958748901	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.013903601694915254	0.0938331314124898	1.0
