	brf_gmo__nrlmf_y_reconstruction	brf_gmo__regressor_to_classifier	brf_gmosa__regressor_to_classifier	brf_gso__nrlmf_y_reconstruction	brf_gso__regressor_to_classifier	brf_lmo__nrlmf_y_reconstruction	brf_lmo__regressor_to_classifier	brf_lso__regressor_to_classifier	brf_sgso__regressor_to_classifier	brf_sgso_us__regressor_to_classifier	bxt_gmo__regressor_to_classifier	bxt_gmosa__regressor_to_classifier	bxt_gso__nrlmf_y_reconstruction	bxt_gso__regressor_to_classifier	bxt_lmo__nrlmf_y_reconstruction	bxt_lmo__regressor_to_classifier	bxt_lso__nrlmf_y_reconstruction	bxt_lso__regressor_to_classifier	bxt_sgso__regressor_to_classifier	bxt_sgso_us__regressor_to_classifier	nrlmf__
brf_gmo__nrlmf_y_reconstruction	1.0	0.15519425675675674	0.033482142857142856	1.0	0.06615423387096774	0.30701754385964913	0.06615423387096774	0.033482142857142856	0.0234375	0.0234375	0.30701754385964913	0.1171875	0.7911643401015228	0.24560254491017966	0.24560254491017966	0.0234375	0.517630347593583	0.044341216216216214	0.24560254491017966	0.0234375	0.06615423387096774
brf_gmo__regressor_to_classifier	0.15519425675675674	1.0	0.033482142857142856	0.1171875	0.08766698473282443	0.864329268292683	0.08766698473282443	0.033482142857142856	0.044341216216216214	0.0234375	0.0234375	0.6970531088082902	0.19981971153846154	0.9544020432692307	0.864329268292683	0.044341216216216214	0.9544020432692307	0.15519425675675674	1.0	0.0234375	0.19981971153846154
brf_gmosa__regressor_to_classifier	0.033482142857142856	0.033482142857142856	1.0	0.0234375	0.0234375	0.0234375	0.0234375	0.044341216216216214	0.06615423387096774	0.0234375	0.0234375	0.0234375	0.0234375	0.0234375	0.0234375	0.24560254491017966	0.0234375	0.08766698473282443	0.0234375	0.0234375	0.4441470994475138
brf_gso__nrlmf_y_reconstruction	1.0	0.1171875	0.0234375	1.0	0.033482142857142856	0.033482142857142856	0.033482142857142856	0.0234375	0.0234375	0.1383496991884973	0.24560254491017966	0.06615423387096774	0.517630347593583	0.1171875	0.06615423387096774	0.0234375	0.17339121298232082	0.06615423387096774	0.15519425675675674	0.033482142857142856	0.1171875
brf_gso__regressor_to_classifier	0.06615423387096774	0.08766698473282443	0.0234375	0.033482142857142856	1.0	0.0234375	0.517630347593583	0.0234375	0.24560254491017966	0.033482142857142856	0.0234375	0.1171875	0.0234375	0.06615423387096774	0.0234375	0.46247788774953974	0.0234375	0.864329268292683	0.0234375	0.033482142857142856	0.864329268292683
brf_lmo__nrlmf_y_reconstruction	0.30701754385964913	0.864329268292683	0.0234375	0.033482142857142856	0.0234375	1.0	0.0234375	0.0234375	0.033482142857142856	0.033482142857142856	0.0234375	0.517630347593583	0.0234375	0.2594730529195303	0.7911643401015228	0.033482142857142856	0.4441470994475138	0.19981971153846154	0.6393366921252818	0.033482142857142856	0.19981971153846154
brf_lmo__regressor_to_classifier	0.06615423387096774	0.08766698473282443	0.0234375	0.033482142857142856	0.517630347593583	0.0234375	1.0	0.0234375	0.864329268292683	0.033482142857142856	0.0234375	0.06615423387096774	0.0234375	0.0234375	0.0234375	0.6108710106382979	0.0234375	0.4441470994475138	0.0234375	0.033482142857142856	0.7911643401015228
brf_lso__regressor_to_classifier	0.033482142857142856	0.033482142857142856	0.044341216216216214	0.0234375	0.0234375	0.0234375	0.0234375	1.0	0.06615423387096774	0.0234375	0.0234375	0.0234375	0.0234375	0.0234375	0.0234375	0.3771551724137931	0.0234375	0.15519425675675674	0.0234375	0.0234375	0.517630347593583
brf_sgso__regressor_to_classifier	0.0234375	0.044341216216216214	0.06615423387096774	0.0234375	0.24560254491017966	0.033482142857142856	0.864329268292683	0.06615423387096774	1.0	0.0234375	0.0234375	0.0234375	0.03667635277283145	0.0234375	0.044341216216216214	0.7911643401015228	0.0234375	0.15519425675675674	0.0234375	0.0234375	0.6970531088082902
brf_sgso_us__regressor_to_classifier	0.0234375	0.0234375	0.0234375	0.1383496991884973	0.033482142857142856	0.033482142857142856	0.033482142857142856	0.0234375	0.0234375	1.0	0.30701754385964913	0.033482142857142856	0.08766698473282443	0.033482142857142856	0.033482142857142856	0.0234375	0.044341216216216214	0.0234375	0.033482142857142856	0.9544020432692307	0.0234375
bxt_gmo__regressor_to_classifier	0.30701754385964913	0.0234375	0.0234375	0.24560254491017966	0.0234375	0.0234375	0.0234375	0.0234375	0.0234375	0.30701754385964913	1.0	0.044341216216216214	0.0234375	0.044341216216216214	0.0234375	0.0234375	0.0234375	0.033482142857142856	0.033482142857142856	0.4441470994475138	0.044341216216216214
bxt_gmosa__regressor_to_classifier	0.1171875	0.6970531088082902	0.0234375	0.06615423387096774	0.1171875	0.517630347593583	0.06615423387096774	0.0234375	0.0234375	0.033482142857142856	0.044341216216216214	1.0	0.19981971153846154	0.864329268292683	0.4441470994475138	0.0234375	0.3771551724137931	0.06615423387096774	0.4441470994475138	0.033482142857142856	0.15519425675675674
bxt_gso__nrlmf_y_reconstruction	0.7911643401015228	0.19981971153846154	0.0234375	0.517630347593583	0.0234375	0.0234375	0.0234375	0.0234375	0.03667635277283145	0.08766698473282443	0.0234375	0.19981971153846154	1.0	0.24560254491017966	0.0234375	0.033482142857142856	0.06615423387096774	0.1171875	0.19981971153846154	0.044341216216216214	0.08766698473282443
bxt_gso__regressor_to_classifier	0.24560254491017966	0.9544020432692307	0.0234375	0.1171875	0.06615423387096774	0.2594730529195303	0.0234375	0.0234375	0.0234375	0.033482142857142856	0.044341216216216214	0.864329268292683	0.24560254491017966	1.0	0.24560254491017966	0.0234375	0.24560254491017966	0.06615423387096774	0.6970531088082902	0.044341216216216214	0.19981971153846154
bxt_lmo__nrlmf_y_reconstruction	0.24560254491017966	0.864329268292683	0.0234375	0.06615423387096774	0.0234375	0.7911643401015228	0.0234375	0.0234375	0.044341216216216214	0.033482142857142856	0.0234375	0.4441470994475138	0.0234375	0.24560254491017966	1.0	0.08766698473282443	0.3771551724137931	0.24560254491017966	0.6970531088082902	0.033482142857142856	0.24560254491017966
bxt_lmo__regressor_to_classifier	0.0234375	0.044341216216216214	0.24560254491017966	0.0234375	0.46247788774953974	0.033482142857142856	0.6108710106382979	0.3771551724137931	0.7911643401015228	0.0234375	0.0234375	0.0234375	0.033482142857142856	0.0234375	0.08766698473282443	1.0	0.033482142857142856	0.1171875	0.0234375	0.0234375	0.8266729846955947
bxt_lso__nrlmf_y_reconstruction	0.517630347593583	0.9544020432692307	0.0234375	0.17339121298232082	0.0234375	0.4441470994475138	0.0234375	0.0234375	0.0234375	0.044341216216216214	0.0234375	0.3771551724137931	0.06615423387096774	0.24560254491017966	0.3771551724137931	0.033482142857142856	1.0	0.15519425675675674	0.4441470994475138	0.033482142857142856	0.1171875
bxt_lso__regressor_to_classifier	0.044341216216216214	0.15519425675675674	0.08766698473282443	0.06615423387096774	0.864329268292683	0.19981971153846154	0.4441470994475138	0.15519425675675674	0.15519425675675674	0.0234375	0.033482142857142856	0.06615423387096774	0.1171875	0.06615423387096774	0.24560254491017966	0.1171875	0.15519425675675674	1.0	0.08766698473282443	0.0234375	0.864329268292683
