	ad_density	ad_fixed	ad_random	ad_size	md_density	md_fixed	md_random	md_size	mse_density	mse_fixed	mse_random	mse_size
ad_density	1.0	0.7233476482453893	0.9543400691105769	0.6953887939453125	6.945379849137931e-05	0.0011255600873161765	6.945379849137931e-05	6.945379849137931e-05	0.06963239397321429	0.7512492518271169	0.5027799786261793	0.07775595021802326
ad_fixed	0.7233476482453893	1.0	0.51983642578125	0.51983642578125	6.945379849137931e-05	0.0038105732685810812	6.945379849137931e-05	6.945379849137931e-05	0.150054931640625	0.6393916689116379	0.44218562199519235	0.09591878255208335
ad_random	0.9543400691105769	0.51983642578125	1.0	0.859982445126488	6.945379849137931e-05	0.0008544921875	6.945379849137931e-05	6.945379849137931e-05	0.02160186767578125	1.0	0.6115626284950658	0.024955935594512195
ad_size	0.6953887939453125	0.51983642578125	0.859982445126488	1.0	6.945379849137931e-05	0.007075383112980769	6.945379849137931e-05	6.945379849137931e-05	0.18217435796210105	0.9280557632446289	0.6953887939453125	0.23146728515625
md_density	6.945379849137931e-05	6.945379849137931e-05	6.945379849137931e-05	6.945379849137931e-05	1.0	6.945379849137931e-05	6.945379849137931e-05	6.945379849137931e-05	6.945379849137931e-05	6.945379849137931e-05	6.945379849137931e-05	6.945379849137931e-05
md_fixed	0.0011255600873161765	0.0038105732685810812	0.0008544921875	0.007075383112980769	6.945379849137931e-05	1.0	6.945379849137931e-05	6.945379849137931e-05	0.00012994581653225806	0.004664370888157895	0.19780731201171875	0.23146728515625
md_random	6.945379849137931e-05	6.945379849137931e-05	6.945379849137931e-05	6.945379849137931e-05	6.945379849137931e-05	6.945379849137931e-05	1.0	6.945379849137931e-05	6.945379849137931e-05	6.945379849137931e-05	6.945379849137931e-05	6.945379849137931e-05
md_size	6.945379849137931e-05	6.945379849137931e-05	6.945379849137931e-05	6.945379849137931e-05	6.945379849137931e-05	6.945379849137931e-05	6.945379849137931e-05	1.0	0.00012994581653225806	6.945379849137931e-05	6.945379849137931e-05	6.945379849137931e-05
mse_density	0.06963239397321429	0.150054931640625	0.02160186767578125	0.18217435796210105	6.945379849137931e-05	0.00012994581653225806	6.945379849137931e-05	0.00012994581653225806	1.0	0.0018463134765625002	0.0018463134765625002	0.0008544921875
mse_fixed	0.7512492518271169	0.6393916689116379	1.0	0.9280557632446289	6.945379849137931e-05	0.004664370888157895	6.945379849137931e-05	6.945379849137931e-05	0.0018463134765625002	1.0	0.5838906424386161	0.086517333984375
mse_random	0.5027799786261793	0.44218562199519235	0.6115626284950658	0.6953887939453125	6.945379849137931e-05	0.19780731201171875	6.945379849137931e-05	6.945379849137931e-05	0.0018463134765625002	0.5838906424386161	1.0	0.3264124253216912
mse_size	0.07775595021802326	0.09591878255208335	0.024955935594512195	0.23146728515625	6.945379849137931e-05	0.23146728515625	6.945379849137931e-05	6.945379849137931e-05	0.0008544921875	0.086517333984375	0.3264124253216912	1.0
