	brf_gmosa	brf_gso	brf_gso__nrlmf	brf_lmo	brf_lmo__nrlmf	brf_lso
brf_gmosa	1.0	0.000762939453125	0.12262344360351562	0.00217437744140625	0.5414962768554688	0.215789794921875
brf_gso	0.000762939453125	1.0	0.6392015729631696	0.4061612215909091	0.12262344360351562	0.000762939453125
brf_gso__nrlmf	0.12262344360351562	0.6392015729631696	1.0	0.979949951171875	0.015472412109375	0.12262344360351562
brf_lmo	0.00217437744140625	0.4061612215909091	0.979949951171875	1.0	0.15574137369791669	0.000762939453125
brf_lmo__nrlmf	0.5414962768554688	0.12262344360351562	0.015472412109375	0.15574137369791669	1.0	0.6392015729631696
brf_lso	0.215789794921875	0.000762939453125	0.12262344360351562	0.000762939453125	0.6392015729631696	1.0
