	brf_gmo	brf_gmo__nrlmf	brf_gso__nrlmf	brf_lmo	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa__nrlmf	bxt_gso__nrlmf
brf_gmo	1.0	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	0.00011145550271739131	4.0690104166666664e-05
brf_gmo__nrlmf	4.0690104166666664e-05	1.0	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05
brf_gso__nrlmf	4.0690104166666664e-05	4.0690104166666664e-05	1.0	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05
brf_lmo	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	1.0	7.768110795454545e-05	4.0690104166666664e-05	0.0037597656249999997	0.023038423978365384
bxt_gmo	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	7.768110795454545e-05	1.0	4.0690104166666664e-05	0.02588794849537037	0.348388671875
bxt_gmo__nrlmf	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	1.0	4.0690104166666664e-05	4.0690104166666664e-05
bxt_gmosa__nrlmf	0.00011145550271739131	4.0690104166666664e-05	4.0690104166666664e-05	0.0037597656249999997	0.02588794849537037	4.0690104166666664e-05	1.0	0.0037597656249999997
bxt_gso__nrlmf	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	0.023038423978365384	0.348388671875	4.0690104166666664e-05	0.0037597656249999997	1.0
