time,n,estimator
3.287442206405103,100,bdt_gmo
8.444597402587533,100,ss_bdt_gmo_md
15.276153249666095,100,ss_bdt_gmo_mse
1.8812180254608393,100,bdt_gso
10.359302140772343,100,ss_bdt_gmo_ad
1.4617220107465982,100,bxt_gmo
2.627315528690815,109,bxt_gso
1.272827960550785,100,bxt_gso
2.9194574896246195,109,bdt_gso
10.176646853797138,109,ss_bdt_gmo_md
4.137764850631356,109,bdt_gmo
2.068522345274687,109,bxt_gmo
4.162639577873051,120,bxt_gso
18.440085022710264,109,ss_bdt_gmo_mse
11.209952338598669,109,ss_bdt_gmo_ad
2.2691984781995416,120,bxt_gmo
5.62525396514684,120,bdt_gmo
4.148627859540284,120,bdt_gso
4.038971992209554,132,bdt_gso
9.9143738867715,120,ss_bdt_gmo_ad
2.287375744432211,132,bxt_gmo
2.742340013384819,132,bxt_gso
7.208573397248983,120,ss_bdt_gmo_md
5.972977044992149,132,bdt_gmo
3.097131830640137,145,bdt_gso
2.142785341478884,145,bxt_gso
1.934972078539431,145,bxt_gmo
4.761864930391312,132,ss_bdt_gmo_md
5.510712354443967,145,bdt_gmo
5.80707289185375,132,ss_bdt_gmo_ad
1.2127954363822937,159,bxt_gso
7.551285060122609,145,ss_bdt_gmo_ad
1.327504781074822,159,bxt_gmo
2.451691065914929,159,bdt_gso
5.122925677336752,145,ss_bdt_gmo_md
10.464393162168562,120,ss_bdt_gmo_mse
1.2850246652960777,175,bxt_gso
5.501086462289095,159,bdt_gmo
2.5280502177774906,175,bdt_gso
1.7483870089054108,175,bxt_gmo
14.871569089591503,132,ss_bdt_gmo_mse
7.699770017527044,159,ss_bdt_gmo_ad
6.093736273236573,159,ss_bdt_gmo_md
1.7117531057447195,193,bxt_gso
19.059389516711235,145,ss_bdt_gmo_mse
3.130175219848752,193,bdt_gso
2.0820135846734047,193,bxt_gmo
7.558198208920658,175,bdt_gmo
7.404850711114705,175,ss_bdt_gmo_md
8.756294947117567,175,ss_bdt_gmo_ad
2.0651687402278185,212,bxt_gso
3.5190235478803515,212,bdt_gso
9.099001126363873,193,bdt_gmo
22.99648249987513,159,ss_bdt_gmo_mse
2.2823138516396284,212,bxt_gmo
8.535406202077866,193,ss_bdt_gmo_md
10.524145268835127,193,ss_bdt_gmo_ad
2.3351866267621517,232,bxt_gso
4.518915932625532,232,bdt_gso
11.768550426699221,212,bdt_gmo
3.0431697946041822,232,bxt_gmo
11.730106146074831,212,ss_bdt_gmo_md
13.7557383030653,212,ss_bdt_gmo_ad
30.50790587812662,175,ss_bdt_gmo_mse
3.102942219004035,255,bxt_gso
5.90884951967746,255,bdt_gso
15.5474603055045,232,bdt_gmo
3.994045753031969,255,bxt_gmo
15.642116267234087,232,ss_bdt_gmo_md
18.035291519016027,232,ss_bdt_gmo_ad
43.78678281418979,193,ss_bdt_gmo_mse
4.217668389901519,281,bxt_gso
7.860333916731179,281,bdt_gso
21.205522790551186,255,bdt_gmo
20.33496310468763,255,ss_bdt_gmo_md
5.311634913086891,281,bxt_gmo
24.536405527964234,255,ss_bdt_gmo_ad
62.47591560706496,212,ss_bdt_gmo_mse
5.3569474732503295,308,bxt_gso
29.674163340590894,281,bdt_gmo
10.450241016224027,308,bdt_gso
6.978932186961174,308,bxt_gmo
33.212561407126486,281,ss_bdt_gmo_ad
30.28886117041111,281,ss_bdt_gmo_md
89.4427933525294,232,ss_bdt_gmo_mse
10.95207953825593,339,bxt_gso
45.5142585048452,308,bdt_gmo
44.35127230640501,308,ss_bdt_gmo_md
21.184916495345533,339,bdt_gso
54.2868851525709,308,ss_bdt_gmo_ad
15.134525659494102,339,bxt_gmo
146.14224140997976,255,ss_bdt_gmo_mse
14.127416865900159,372,bxt_gso
75.20196175016463,339,bdt_gmo
28.935571526177227,372,bdt_gso
86.56345411483198,339,ss_bdt_gmo_md
21.53802960831672,372,bxt_gmo
93.34149974398315,339,ss_bdt_gmo_ad
231.7128781201318,281,ss_bdt_gmo_mse
21.066185787320137,409,bxt_gso
107.5423325439915,372,bdt_gmo
101.5245356997475,372,ss_bdt_gmo_md
111.5201601581648,372,ss_bdt_gmo_ad
36.89624847099185,409,bdt_gso
27.56359195150435,409,bxt_gmo
364.71208817791194,308,ss_bdt_gmo_mse
131.96273086033762,409,bdt_gmo
27.761705650947988,449,bxt_gso
147.65553143247962,409,ss_bdt_gmo_ad
138.4725829893723,409,ss_bdt_gmo_md
32.93345641437918,449,bxt_gmo
48.25567420292646,449,bdt_gso
