	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf
bxt_gmo	1.0	4.0690104166666664e-05	4.0690104166666664e-05	0.0005201256793478261	4.0690104166666664e-05	0.06211500901442307	0.0057763671875	4.0690104166666664e-05
bxt_gmo__nrlmf	4.0690104166666664e-05	1.0	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05
bxt_gmosa	4.0690104166666664e-05	4.0690104166666664e-05	1.0	4.0690104166666664e-05	0.979949951171875	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05
bxt_gmosa__nrlmf	0.0005201256793478261	4.0690104166666664e-05	4.0690104166666664e-05	1.0	4.0690104166666664e-05	0.0003884055397727273	0.0006764729817708334	4.0690104166666664e-05
bxt_gso	4.0690104166666664e-05	4.0690104166666664e-05	0.979949951171875	4.0690104166666664e-05	1.0	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05
bxt_gso__nrlmf	0.06211500901442307	4.0690104166666664e-05	4.0690104166666664e-05	0.0003884055397727273	4.0690104166666664e-05	1.0	0.5137713396990741	4.0690104166666664e-05
bxt_lmo	0.0057763671875	4.0690104166666664e-05	4.0690104166666664e-05	0.0006764729817708334	4.0690104166666664e-05	0.5137713396990741	1.0	4.0690104166666664e-05
bxt_lmo__nrlmf	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	4.0690104166666664e-05	1.0
