	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf
bxt_gmo	1.0	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	0.003518497242647059	6.103515625e-05
bxt_gmo__nrlmf	6.103515625e-05	1.0	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05
bxt_gmosa	6.103515625e-05	6.103515625e-05	1.0	0.860260009765625	6.103515625e-05	0.12459309895833333	0.13310657848011365	0.8007577749399039
bxt_gmosa__nrlmf	6.103515625e-05	6.103515625e-05	0.860260009765625	1.0	0.0024495442708333333	0.004947060032894737	0.5410359700520834	0.3626019021739131
bxt_gso	6.103515625e-05	6.103515625e-05	6.103515625e-05	0.0024495442708333333	1.0	0.6681787109374999	0.004177517361111111	0.00293731689453125
bxt_gso__nrlmf	6.103515625e-05	6.103515625e-05	0.12459309895833333	0.004947060032894737	0.6681787109374999	1.0	0.116552734375	6.103515625e-05
bxt_lmo	0.003518497242647059	6.103515625e-05	0.13310657848011365	0.5410359700520834	0.004177517361111111	0.116552734375	1.0	0.8109130859375
bxt_lmo__nrlmf	6.103515625e-05	6.103515625e-05	0.8007577749399039	0.3626019021739131	0.00293731689453125	6.103515625e-05	0.8109130859375	1.0
