	bxt_gmo	bxt_gmosa	bxt_gso	bxt_gso_1k	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso
bxt_gmo	1.0	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05
bxt_gmosa	3.0517578125e-05	1.0	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05
bxt_gso	3.0517578125e-05	3.0517578125e-05	1.0	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05
bxt_gso_1k	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	1.0	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05
bxt_gso__nrlmf	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	1.0	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05
bxt_lmo	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	1.0	3.0517578125e-05	3.0517578125e-05
bxt_lmo__nrlmf	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	1.0	3.0517578125e-05
bxt_lso	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	3.0517578125e-05	1.0
