	bxt_gmo	bxt_gmosa	bxt_gso	bxt_gso_1k	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso
bxt_gmo	1.0	5.0264246323529416e-05	5.0264246323529416e-05	5.0264246323529416e-05	5.0264246323529416e-05	5.0264246323529416e-05	5.0264246323529416e-05	5.0264246323529416e-05
bxt_gmosa	5.0264246323529416e-05	1.0	1.0	1.0	5.0264246323529416e-05	1.0	5.0264246323529416e-05	1.0
bxt_gso	5.0264246323529416e-05	1.0	1.0	1.0	5.0264246323529416e-05	1.0	5.0264246323529416e-05	1.0
bxt_gso_1k	5.0264246323529416e-05	1.0	1.0	1.0	5.0264246323529416e-05	1.0	5.0264246323529416e-05	1.0
bxt_gso__nrlmf	5.0264246323529416e-05	5.0264246323529416e-05	5.0264246323529416e-05	5.0264246323529416e-05	1.0	5.0264246323529416e-05	1.0	5.0264246323529416e-05
bxt_lmo	5.0264246323529416e-05	1.0	1.0	1.0	5.0264246323529416e-05	1.0	5.0264246323529416e-05	1.0
bxt_lmo__nrlmf	5.0264246323529416e-05	5.0264246323529416e-05	5.0264246323529416e-05	5.0264246323529416e-05	1.0	5.0264246323529416e-05	1.0	5.0264246323529416e-05
bxt_lso	5.0264246323529416e-05	1.0	1.0	1.0	5.0264246323529416e-05	1.0	5.0264246323529416e-05	1.0
