	bxt_gmo	bxt_gmosa	bxt_gso	bxt_gso_1k__nrlmf	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	0.0001373291015625	0.0001373291015625	0.0001373291015625	0.0001373291015625	0.0001373291015625	0.0001373291015625	0.0001373291015625	0.0001373291015625
bxt_gmosa	0.0001373291015625	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
bxt_gso	0.0001373291015625	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
bxt_gso_1k__nrlmf	0.0001373291015625	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
bxt_gso__nrlmf	0.0001373291015625	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
bxt_lmo	0.0001373291015625	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
bxt_lmo__nrlmf	0.0001373291015625	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
bxt_lso	0.0001373291015625	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
bxt_lso__nrlmf	0.0001373291015625	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
