	brf_gmo	brf_gmo__nrlmf	brf_gso__nrlmf	brf_lmo	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa__nrlmf	bxt_gso__nrlmf
brf_gmo	1.0	4.747178819444444e-05	4.747178819444444e-05	0.10845721209490741	4.747178819444444e-05	4.747178819444444e-05	0.000128173828125	0.0002848307291666667
brf_gmo__nrlmf	4.747178819444444e-05	1.0	4.747178819444444e-05	4.747178819444444e-05	4.747178819444444e-05	4.747178819444444e-05	4.747178819444444e-05	4.747178819444444e-05
brf_gso__nrlmf	4.747178819444444e-05	4.747178819444444e-05	1.0	4.747178819444444e-05	4.747178819444444e-05	0.0011749267578125	0.0007058848505434783	0.09324218749999999
brf_lmo	0.10845721209490741	4.747178819444444e-05	4.747178819444444e-05	1.0	0.1006328876201923	4.747178819444444e-05	0.0007058848505434783	4.747178819444444e-05
bxt_gmo	4.747178819444444e-05	4.747178819444444e-05	4.747178819444444e-05	0.1006328876201923	1.0	4.747178819444444e-05	4.747178819444444e-05	4.747178819444444e-05
bxt_gmo__nrlmf	4.747178819444444e-05	4.747178819444444e-05	0.0011749267578125	4.747178819444444e-05	4.747178819444444e-05	1.0	8.994654605263157e-05	4.747178819444444e-05
bxt_gmosa__nrlmf	0.000128173828125	4.747178819444444e-05	0.0007058848505434783	0.0007058848505434783	4.747178819444444e-05	8.994654605263157e-05	1.0	0.129730224609375
bxt_gso__nrlmf	0.0002848307291666667	4.747178819444444e-05	0.09324218749999999	4.747178819444444e-05	4.747178819444444e-05	4.747178819444444e-05	0.129730224609375	1.0
