	bxt_gmo	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso_us
bxt_gmo	1.0	0.002663352272727273	0.002663352272727273	0.002663352272727273	0.002663352272727273	0.002663352272727273
bxt_gmosa	0.002663352272727273	1.0	0.007889704117510603	0.064453125	0.002663352272727273	0.002663352272727273
bxt_gso	0.002663352272727273	0.007889704117510603	1.0	0.010463169642857142	0.002663352272727273	0.0048828125
bxt_lmo	0.002663352272727273	0.064453125	0.010463169642857142	1.0	0.002663352272727273	0.002663352272727273
bxt_lso	0.002663352272727273	0.002663352272727273	0.002663352272727273	0.002663352272727273	1.0	0.002663352272727273
bxt_sgso_us	0.002663352272727273	0.002663352272727273	0.0048828125	0.002663352272727273	0.002663352272727273	1.0
