	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso_us
brf_gmo	1.0	0.0503082275390625	6.539481026785714e-05	0.6773267473493303	0.899932861328125	6.539481026785714e-05
brf_gmosa	0.0503082275390625	1.0	0.6773267473493303	0.0035603841145833335	6.539481026785714e-05	6.539481026785714e-05
brf_gso	6.539481026785714e-05	0.6773267473493303	1.0	0.12742476029829547	0.001430511474609375	6.539481026785714e-05
brf_lmo	0.6773267473493303	0.0035603841145833335	0.12742476029829547	1.0	0.579681396484375	6.539481026785714e-05
brf_lso	0.899932861328125	6.539481026785714e-05	0.001430511474609375	0.579681396484375	1.0	6.539481026785714e-05
brf_sgso_us	6.539481026785714e-05	6.539481026785714e-05	6.539481026785714e-05	6.539481026785714e-05	6.539481026785714e-05	1.0
