	ad_density	ad_fixed	ad_random	ad_size	md_density	md_fixed	md_random	md_size	mse_density	mse_fixed	mse_random	mse_size
ad_density	1.0	0.10379352975398935	0.22724042619977677	0.06646728515625	0.0025177001953125	0.010980421496975807	0.09383359162703804	0.6622750418526785	0.001438685825892857	0.5981405934979839	0.0021260579427083335	0.013987223307291668
ad_fixed	0.10379352975398935	1.0	0.013987223307291668	0.781951904296875	0.000335693359375	0.05533905029296875	0.019597233952702704	0.10773782169117647	0.007912772042410714	0.13023635576356132	0.010980421496975807	0.05533905029296875
ad_random	0.22724042619977677	0.013987223307291668	1.0	0.013987223307291668	0.0021260579427083335	0.0008392333984375	0.19440375434027776	0.6894407272338867	0.000604248046875	0.5360307537141393	0.0008392333984375	0.0021260579427083335
ad_size	0.06646728515625	0.781951904296875	0.013987223307291668	1.0	0.000604248046875	0.4200036000397246	0.06646728515625	0.06646728515625	0.005422738882211539	0.13023635576356132	0.009515170393318966	0.22724042619977677
md_density	0.0025177001953125	0.000335693359375	0.0021260579427083335	0.000604248046875	1.0	0.000335693359375	0.000335693359375	0.000335693359375	0.0005035400390625	0.000335693359375	0.0005035400390625	0.000335693359375
md_fixed	0.010980421496975807	0.05533905029296875	0.0008392333984375	0.4200036000397246	0.000335693359375	1.0	0.0010845477764423077	0.0021260579427083335	0.10773782169117647	0.0037656037703804345	0.09383359162703804	0.7165762094350961
md_random	0.09383359162703804	0.019597233952702704	0.19440375434027776	0.06646728515625	0.000335693359375	0.0010845477764423077	1.0	0.3964422817887931	0.00461578369140625	0.06646728515625	0.0037656037703804345	0.0025177001953125
md_size	0.6622750418526785	0.10773782169117647	0.6894407272338867	0.06646728515625	0.000335693359375	0.0021260579427083335	0.3964422817887931	1.0	0.003165108816964286	0.3964422817887931	0.005422738882211539	0.03715595446134868
mse_density	0.001438685825892857	0.007912772042410714	0.000604248046875	0.005422738882211539	0.0005035400390625	0.10773782169117647	0.00461578369140625	0.003165108816964286	1.0	0.012966156005859375	0.5101196289062501	0.10773782169117647
mse_fixed	0.5981405934979839	0.13023635576356132	0.5360307537141393	0.13023635576356132	0.000335693359375	0.0037656037703804345	0.06646728515625	0.3964422817887931	0.012966156005859375	1.0	0.006564670138888888	0.013987223307291668
mse_random	0.0021260579427083335	0.010980421496975807	0.0008392333984375	0.009515170393318966	0.0005035400390625	0.09383359162703804	0.0037656037703804345	0.005422738882211539	0.5101196289062501	0.006564670138888888	1.0	0.10773782169117647
mse_size	0.013987223307291668	0.05533905029296875	0.0021260579427083335	0.22724042619977677	0.000335693359375	0.7165762094350961	0.0025177001953125	0.03715595446134868	0.10773782169117647	0.013987223307291668	0.10773782169117647	1.0
