	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf
bxt_gmo	1.0	0.00014241536458333334	0.0009494357638888888	0.00014241536458333334	0.00014241536458333334	0.00014241536458333334	0.0007476806640625	0.00014241536458333334
bxt_gmo__nrlmf	0.00014241536458333334	1.0	0.002349853515625	0.0016235351562499999	0.005013020833333334	0.10135020380434782	0.002349853515625	0.10901896158854167
bxt_gmosa	0.0009494357638888888	0.002349853515625	1.0	0.05908203125	0.0007476806640625	0.002826397235576923	0.5137713396990741	0.0042724609375
bxt_gmosa__nrlmf	0.00014241536458333334	0.0016235351562499999	0.05908203125	1.0	0.528167724609375	0.00014241536458333334	0.1712928185096154	0.00731658935546875
bxt_gso	0.00014241536458333334	0.005013020833333334	0.0007476806640625	0.528167724609375	1.0	0.1171337890625	0.04058837890625	0.014289008246527776
bxt_gso__nrlmf	0.00014241536458333334	0.10135020380434782	0.002826397235576923	0.00014241536458333334	0.1171337890625	1.0	0.04058837890625	0.10135020380434782
bxt_lmo	0.0007476806640625	0.002349853515625	0.5137713396990741	0.1712928185096154	0.04058837890625	0.04058837890625	1.0	0.012566061580882354
bxt_lmo__nrlmf	0.00014241536458333334	0.10901896158854167	0.0042724609375	0.00731658935546875	0.014289008246527776	0.10135020380434782	0.012566061580882354	1.0
