	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf
bxt_gmo	1.0	4.497327302631579e-05	4.497327302631579e-05	1.0	4.497327302631579e-05	0.13944498697916666	4.497327302631579e-05	0.6429867951766305
bxt_gmo__nrlmf	4.497327302631579e-05	1.0	4.497327302631579e-05	4.497327302631579e-05	4.497327302631579e-05	4.497327302631579e-05	4.497327302631579e-05	4.497327302631579e-05
bxt_gmosa	4.497327302631579e-05	4.497327302631579e-05	1.0	4.497327302631579e-05	1.0	4.497327302631579e-05	1.0	4.497327302631579e-05
bxt_gmosa__nrlmf	1.0	4.497327302631579e-05	4.497327302631579e-05	1.0	4.497327302631579e-05	0.00029907226562499997	4.497327302631579e-05	0.7799733479817709
bxt_gso	4.497327302631579e-05	4.497327302631579e-05	1.0	4.497327302631579e-05	1.0	4.497327302631579e-05	1.0	4.497327302631579e-05
bxt_gso__nrlmf	0.13944498697916666	4.497327302631579e-05	4.497327302631579e-05	0.00029907226562499997	4.497327302631579e-05	1.0	4.497327302631579e-05	0.20243696732954547
bxt_lmo	4.497327302631579e-05	4.497327302631579e-05	1.0	4.497327302631579e-05	1.0	4.497327302631579e-05	1.0	4.497327302631579e-05
bxt_lmo__nrlmf	0.6429867951766305	4.497327302631579e-05	4.497327302631579e-05	0.7799733479817709	4.497327302631579e-05	0.20243696732954547	4.497327302631579e-05	1.0
