	bxt_gmo	bxt_gmosa	bxt_gso	bxt_gso_1k	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	5.4931640624999995e-05	5.4931640624999995e-05	5.4931640624999995e-05	0.4644140625	5.4931640624999995e-05	0.4644140625	5.4931640624999995e-05	0.09027895720108696
bxt_gmosa	5.4931640624999995e-05	1.0	1.0	1.0	5.4931640624999995e-05	1.0	5.4931640624999995e-05	1.0	5.4931640624999995e-05
bxt_gso	5.4931640624999995e-05	1.0	1.0	1.0	5.4931640624999995e-05	1.0	5.4931640624999995e-05	1.0	5.4931640624999995e-05
bxt_gso_1k	5.4931640624999995e-05	1.0	1.0	1.0	5.4931640624999995e-05	1.0	5.4931640624999995e-05	1.0	5.4931640624999995e-05
bxt_gso__nrlmf	0.4644140625	5.4931640624999995e-05	5.4931640624999995e-05	5.4931640624999995e-05	1.0	5.4931640624999995e-05	1.0	5.4931640624999995e-05	0.01028719815340909
bxt_lmo	5.4931640624999995e-05	1.0	1.0	1.0	5.4931640624999995e-05	1.0	5.4931640624999995e-05	1.0	5.4931640624999995e-05
bxt_lmo__nrlmf	0.4644140625	5.4931640624999995e-05	5.4931640624999995e-05	5.4931640624999995e-05	1.0	5.4931640624999995e-05	1.0	5.4931640624999995e-05	0.01028719815340909
bxt_lso	5.4931640624999995e-05	1.0	1.0	1.0	5.4931640624999995e-05	1.0	5.4931640624999995e-05	1.0	5.4931640624999995e-05
bxt_lso__nrlmf	0.09027895720108696	5.4931640624999995e-05	5.4931640624999995e-05	5.4931640624999995e-05	0.01028719815340909	5.4931640624999995e-05	0.01028719815340909	5.4931640624999995e-05	1.0
