	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf
bxt_gmo	1.0	7.768110795454545e-05	0.0010823567708333334	7.768110795454545e-05	0.0004984537760416667	7.768110795454545e-05	0.743560791015625	7.768110795454545e-05
bxt_gmo__nrlmf	7.768110795454545e-05	1.0	7.768110795454545e-05	7.768110795454545e-05	7.768110795454545e-05	7.768110795454545e-05	7.768110795454545e-05	7.768110795454545e-05
bxt_gmosa	0.0010823567708333334	7.768110795454545e-05	1.0	0.6555853949652778	0.19363536005434784	0.6555853949652778	0.007220458984375	0.003323025173611111
bxt_gmosa__nrlmf	7.768110795454545e-05	7.768110795454545e-05	0.6555853949652778	1.0	0.6555853949652778	0.0008544921875	0.18309437144886365	7.768110795454545e-05
bxt_gso	0.0004984537760416667	7.768110795454545e-05	0.19363536005434784	0.6555853949652778	1.0	0.5053965250651042	0.007220458984375	0.002764533547794118
bxt_gso__nrlmf	7.768110795454545e-05	7.768110795454545e-05	0.6555853949652778	0.0008544921875	0.5053965250651042	1.0	0.0146484375	0.0006573016826923076
bxt_lmo	0.743560791015625	7.768110795454545e-05	0.007220458984375	0.18309437144886365	0.007220458984375	0.0146484375	1.0	0.00176239013671875
bxt_lmo__nrlmf	7.768110795454545e-05	7.768110795454545e-05	0.003323025173611111	7.768110795454545e-05	0.002764533547794118	0.0006573016826923076	0.00176239013671875	1.0
