	ad_density	ad_fixed	ad_random	ad_size	md_density	md_fixed	md_random	md_size	mse_density	mse_fixed	mse_random	mse_size
ad_density	1.0	0.9137779822716346	0.93988037109375	0.4758453369140625	0.028010878452034885	0.002279181229440789	0.28477758290816324	0.305185546875	8.056640625e-05	0.5369680304276315	8.056640625e-05	8.056640625e-05
ad_fixed	0.9137779822716346	1.0	0.7116807506930443	0.6562469482421875	0.057952880859375	0.002279181229440789	0.28477758290816324	0.5637564823545259	8.056640625e-05	0.7393246605282737	8.056640625e-05	8.056640625e-05
ad_random	0.93988037109375	0.7116807506930443	1.0	0.3941786024305555	0.008104596819196428	8.056640625e-05	0.24624179271941488	0.45054931640624996	8.056640625e-05	0.8465452194213867	8.056640625e-05	8.056640625e-05
ad_size	0.4758453369140625	0.6562469482421875	0.3941786024305555	1.0	0.1673942234205163	0.0014386858258928572	0.590831691935911	0.32013526329627406	8.056640625e-05	0.6839889776511271	8.056640625e-05	8.056640625e-05
md_density	0.028010878452034885	0.057952880859375	0.008104596819196428	0.1673942234205163	1.0	8.056640625e-05	0.005403844321646341	0.00020836139547413793	8.056640625e-05	0.0011255600873161765	0.00014386858258928572	0.000629425048828125
md_fixed	0.002279181229440789	0.002279181229440789	8.056640625e-05	0.0014386858258928572	8.056640625e-05	1.0	8.056640625e-05	0.004544771634615384	8.056640625e-05	0.0008544921875	8.056640625e-05	8.056640625e-05
md_random	0.28477758290816324	0.28477758290816324	0.24624179271941488	0.590831691935911	0.005403844321646341	8.056640625e-05	1.0	0.005403844321646341	8.056640625e-05	0.3941786024305555	8.056640625e-05	0.00014386858258928572
md_size	0.305185546875	0.5637564823545259	0.45054931640624996	0.32013526329627406	0.00020836139547413793	0.004544771634615384	0.005403844321646341	1.0	8.056640625e-05	0.32013526329627406	8.056640625e-05	8.056640625e-05
mse_density	8.056640625e-05	8.056640625e-05	8.056640625e-05	8.056640625e-05	8.056640625e-05	8.056640625e-05	8.056640625e-05	8.056640625e-05	1.0	8.056640625e-05	0.0004548103578629032	0.002279181229440789
mse_fixed	0.5369680304276315	0.7393246605282737	0.8465452194213867	0.6839889776511271	0.0011255600873161765	0.0008544921875	0.3941786024305555	0.32013526329627406	8.056640625e-05	1.0	0.00014386858258928572	0.000335693359375
mse_random	8.056640625e-05	8.056640625e-05	8.056640625e-05	8.056640625e-05	0.00014386858258928572	8.056640625e-05	8.056640625e-05	8.056640625e-05	0.0004548103578629032	0.00014386858258928572	1.0	0.10840657552083334
mse_size	8.056640625e-05	8.056640625e-05	8.056640625e-05	8.056640625e-05	0.000629425048828125	8.056640625e-05	0.00014386858258928572	8.056640625e-05	0.002279181229440789	0.000335693359375	0.10840657552083334	1.0
