	bxt_gmosa	bxt_gso	bxt_gso_1k	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso
bxt_gmosa	1.0	3.5603841145833336e-05	0.40374755859375	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05
bxt_gso	3.5603841145833336e-05	1.0	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05
bxt_gso_1k	0.40374755859375	3.5603841145833336e-05	1.0	3.5603841145833336e-05	6.745990953947368e-05	3.5603841145833336e-05	3.5603841145833336e-05
bxt_gso__nrlmf	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	1.0	3.5603841145833336e-05	0.019161987304687503	3.5603841145833336e-05
bxt_lmo	3.5603841145833336e-05	3.5603841145833336e-05	6.745990953947368e-05	3.5603841145833336e-05	1.0	3.5603841145833336e-05	3.5603841145833336e-05
bxt_lmo__nrlmf	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	0.019161987304687503	3.5603841145833336e-05	1.0	3.5603841145833336e-05
bxt_lso	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	3.5603841145833336e-05	1.0
