	bxt_gmosa	bxt_gso	bxt_gso_1k	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso
bxt_gmosa	1.0	3.204345703125e-05	3.204345703125e-05	3.204345703125e-05	3.204345703125e-05	3.204345703125e-05	3.204345703125e-05
bxt_gso	3.204345703125e-05	1.0	0.00213623046875	3.204345703125e-05	3.204345703125e-05	3.204345703125e-05	3.204345703125e-05
bxt_gso_1k	3.204345703125e-05	0.00213623046875	1.0	3.204345703125e-05	3.204345703125e-05	3.204345703125e-05	3.204345703125e-05
bxt_gso__nrlmf	3.204345703125e-05	3.204345703125e-05	3.204345703125e-05	1.0	3.204345703125e-05	3.204345703125e-05	3.204345703125e-05
bxt_lmo	3.204345703125e-05	3.204345703125e-05	3.204345703125e-05	3.204345703125e-05	1.0	3.204345703125e-05	3.204345703125e-05
bxt_lmo__nrlmf	3.204345703125e-05	3.204345703125e-05	3.204345703125e-05	3.204345703125e-05	3.204345703125e-05	1.0	3.204345703125e-05
bxt_lso	3.204345703125e-05	3.204345703125e-05	3.204345703125e-05	3.204345703125e-05	3.204345703125e-05	3.204345703125e-05	1.0
