	bxt_gmosa	bxt_gso	bxt_gso_1k	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso
bxt_gmosa	1.0	3.769818474264706e-05	0.00010118986430921053	3.769818474264706e-05	3.769818474264706e-05	3.769818474264706e-05	7.120768229166667e-05
bxt_gso	3.769818474264706e-05	1.0	3.769818474264706e-05	3.769818474264706e-05	0.2978515625	3.769818474264706e-05	0.00176239013671875
bxt_gso_1k	0.00010118986430921053	3.769818474264706e-05	1.0	3.769818474264706e-05	3.769818474264706e-05	3.769818474264706e-05	3.769818474264706e-05
bxt_gso__nrlmf	3.769818474264706e-05	3.769818474264706e-05	3.769818474264706e-05	1.0	3.769818474264706e-05	3.769818474264706e-05	3.769818474264706e-05
bxt_lmo	3.769818474264706e-05	0.2978515625	3.769818474264706e-05	3.769818474264706e-05	1.0	3.769818474264706e-05	3.769818474264706e-05
bxt_lmo__nrlmf	3.769818474264706e-05	3.769818474264706e-05	3.769818474264706e-05	3.769818474264706e-05	3.769818474264706e-05	1.0	3.769818474264706e-05
bxt_lso	7.120768229166667e-05	0.00176239013671875	3.769818474264706e-05	3.769818474264706e-05	3.769818474264706e-05	3.769818474264706e-05	1.0
