	bxt_gmosa	bxt_gso	bxt_gso_1k	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso
bxt_gmosa	1.0	3.769818474264706e-05	3.769818474264706e-05	0.000152587890625	3.769818474264706e-05	3.769818474264706e-05	3.769818474264706e-05
bxt_gso	3.769818474264706e-05	1.0	3.769818474264706e-05	6.745990953947368e-05	6.745990953947368e-05	3.769818474264706e-05	3.769818474264706e-05
bxt_gso_1k	3.769818474264706e-05	3.769818474264706e-05	1.0	3.769818474264706e-05	3.769818474264706e-05	3.769818474264706e-05	3.769818474264706e-05
bxt_gso__nrlmf	0.000152587890625	6.745990953947368e-05	3.769818474264706e-05	1.0	0.000152587890625	3.769818474264706e-05	3.769818474264706e-05
bxt_lmo	3.769818474264706e-05	6.745990953947368e-05	3.769818474264706e-05	0.000152587890625	1.0	3.769818474264706e-05	3.769818474264706e-05
bxt_lmo__nrlmf	3.769818474264706e-05	3.769818474264706e-05	3.769818474264706e-05	3.769818474264706e-05	3.769818474264706e-05	1.0	3.769818474264706e-05
bxt_lso	3.769818474264706e-05	3.769818474264706e-05	3.769818474264706e-05	3.769818474264706e-05	3.769818474264706e-05	3.769818474264706e-05	1.0
